scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.016055045871559634,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.1601150527325024,0.0,0.0,0.0,0.018050541516245487,0.5642201834862385,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.35282837967401726,0.003125,0.0024509803921568627,0.000625,0.2743682310469314,0.8337155963302753,
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.2483221476510067,0.085625,0.11029411764705882,0.309375,0.4584837545126354,0.7293577981651376,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.1332694151486098,0.170625,0.20588235294117646,0.57625,0.6245487364620939,0.481651376146789,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.07861936720997123,0.1575,0.13725490196078433,0.62625,0.5342960288808665,0.25688073394495414,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.04218600191754554,0.144375,0.11764705882352941,0.634375,0.5234657039711191,0.1536697247706422,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.030680728667305847,0.124375,0.10294117647058823,0.63625,0.4981949458483754,0.09862385321100918,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.02588686481303931,0.11,0.09068627450980392,0.6325,0.49097472924187724,0.05389908256880734,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.020134228187919462,0.1075,0.09803921568627451,0.628125,0.4657039711191336,0.02981651376146789,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.015340364333652923,0.10375,0.14705882352941177,0.62375,0.4657039711191336,0.01261467889908257,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.014381591562799617,0.103125,0.19852941176470587,0.620625,0.4584837545126354,0.005733944954128441,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.011505273250239693,0.104375,0.27450980392156865,0.61125,0.4332129963898917,0.0011467889908256881,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.009587727708533078,0.10125,0.3161764705882353,0.6,0.40794223826714804,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.006711409395973154,0.0975,0.35784313725490197,0.57125,0.3971119133574007,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.00862895493767977,0.080625,0.3799019607843137,0.534375,0.37545126353790614,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.010546500479386385,0.06,0.3897058823529412,0.464375,0.36823104693140796,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.00862895493767977,0.02375,0.41421568627450983,0.37375,0.35018050541516244,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.004793863854266539,0.006875,0.45098039215686275,0.2825,0.34296028880866425,0.0,
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.029721955896452542,0.0,0.0,0.0,0.04332129963898917,0.0,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.03547459252157239,0.0075,0.0024509803921568627,0.0,0.3935018050541516,0.0,0.04311052241795495
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.006711409395973154,0.168125,0.05392156862745098,0.051875,0.4657039711191336,0.0,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.2375,0.2034313725490196,0.256875,0.7111913357400722,0.0,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.225,0.1642156862745098,0.394375,0.6389891696750902,0.0,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.208125,0.13725490196078433,0.434375,0.5703971119133574,0.0,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.198125,0.12990196078431374,0.424375,0.5379061371841155,0.0,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.188125,0.11029411764705882,0.39875,0.516245487364621,0.0,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.1825,0.11274509803921569,0.351875,0.5126353790613718,0.0,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.18125,0.09068627450980392,0.301875,0.47653429602888087,0.0,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.185625,0.0857843137254902,0.249375,0.4548736462093863,0.0,
