scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,dataset:6,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.01834862385321101,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.10834132310642378,0.0,0.0,0.0,0.018050541516245487,0.3944954128440367,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.10067114093959731,0.005094243504839531,0.0024509803921568627,4.946821667078902e-05,0.3285198555956679,0.6169724770642202,0.040393723567515964
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.030680728667305847,0.15415180845644422,0.03431372549019608,0.031832797427652736,0.4259927797833935,0.49426605504587157,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.006711409395973154,0.25022924095771776,0.19607843137254902,0.21652238436804352,0.6678700361010831,0.22706422018348624,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0028763183125599234,0.23953132959755477,0.19117647058823528,0.3112787534009399,0.6425992779783394,0.09977064220183486,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0019175455417066154,0.2240448293428426,0.15441176470588236,0.33670541676972543,0.5776173285198556,0.04243119266055046,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0019175455417066154,0.2142638818135507,0.13725490196078433,0.33749690823645806,0.5415162454873647,0.017201834862385322,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0019175455417066154,0.20682628629648497,0.13480392156862744,0.3146920603512243,0.5234657039711191,0.0,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0028763183125599234,0.20366785532348447,0.12745098039215685,0.2806579272817215,0.5054151624548736,0.0,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0009587727708533077,0.2022414671421294,0.11764705882352941,0.24360623299530051,0.4729241877256318,0.0,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.2032603158430973,0.11519607843137254,0.20546623794212218,0.44404332129963897,0.0,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.20703005603667857,0.11764705882352941,0.16497650259708138,0.4259927797833935,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.21222618441161487,0.12254901960784313,0.12146920603512243,0.4007220216606498,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.21813550687722874,0.13725490196078433,0.07741775908978481,0.36101083032490977,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.22435048395313295,0.15196078431372548,0.044175117487014595,0.35379061371841153,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.2316861946001019,0.19362745098039216,0.021271333168439276,0.34296028880866425,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.23881813550687722,0.2181372549019608,0.00784071234232006,0.3249097472924188,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.2412633723892002,0.24509803921568626,0.0025476131585456343,0.30324909747292417,0.0,
