scaling_factor,k,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,0.25,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.25,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.25,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.25,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,0.25,glue-cola,glue-mnli,0.13518696069031638,0.004375,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,0.538830297219559,0.075,0.0,0.0,0.0,0.005733944954128441,
0.6000000000000001,0.25,glue-cola,glue-mnli,0.6720997123681688,0.2525,0.0,0.0,0.0,0.01834862385321101,
0.7000000000000001,0.25,glue-cola,glue-mnli,0.697986577181208,0.364375,0.0,0.0,0.0,0.021788990825688075,
0.8,0.25,glue-cola,glue-mnli,0.713326941514861,0.508125,0.0,0.0,0.010830324909747292,0.008027522935779817,
0.9,0.25,glue-cola,glue-mnli,0.7277085330776606,0.698125,0.0,0.0,0.1552346570397112,0.0,
1.0,0.25,glue-cola,glue-mnli,0.7305848513902206,0.78875,0.0,0.0,0.3862815884476534,0.0,
0.0,0.5,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.5,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.5,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.5,glue-cola,glue-mnli,0.010546500479386385,0.0,0.0,0.0,0.0,0.0,
0.4,0.5,glue-cola,glue-mnli,0.30201342281879195,0.00875,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,0.6471716203259827,0.186875,0.0,0.0,0.0036101083032490976,0.016055045871559634,
0.6000000000000001,0.5,glue-cola,glue-mnli,0.6874400767018217,0.565625,0.0,0.0,0.12274368231046931,0.03669724770642202,
0.7000000000000001,0.5,glue-cola,glue-mnli,0.7018216682646213,0.67875,0.0,0.0,0.3862815884476534,0.020642201834862386,
0.8,0.5,glue-cola,glue-mnli,0.7142857142857143,0.736875,0.0,0.0,0.4404332129963899,0.006880733944954129,
0.9,0.5,glue-cola,glue-mnli,0.7277085330776606,0.775625,0.0,0.0,0.4368231046931408,0.0,
1.0,0.5,glue-cola,glue-mnli,0.7305848513902206,0.798125,0.0,0.0,0.4223826714801444,0.0,
0.0,0.75,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.75,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.75,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.75,glue-cola,glue-mnli,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
0.4,0.75,glue-cola,glue-mnli,0.16874400767018216,0.00375,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,0.585810162991371,0.12125,0.0,0.0,0.0,0.006880733944954129,
0.6000000000000001,0.75,glue-cola,glue-mnli,0.6768935762224353,0.510625,0.0,0.0,0.07220216606498195,0.02522935779816514,
0.7000000000000001,0.75,glue-cola,glue-mnli,0.6999041227229147,0.6575,0.0,0.0,0.3176895306859206,0.028669724770642203,
0.8,0.75,glue-cola,glue-mnli,0.7046979865771812,0.720625,0.0,0.0,0.4332129963898917,0.013761467889908258,
0.9,0.75,glue-cola,glue-mnli,0.7171620325982742,0.761875,0.0,0.0,0.44404332129963897,0.0,
1.0,0.75,glue-cola,glue-mnli,0.7286673058485139,0.790625,0.0,0.0,0.4404332129963899,0.0,
0.0,1.0,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,1.0,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,1.0,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,1.0,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
