scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.029721955896452542,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.2550335570469799,0.00125,0.0,0.0,0.0,0.02408256880733945,
0.6000000000000001,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.4055608820709492,0.01,0.04656862745098039,0.0,0.0,0.07224770642201835,
0.7000000000000001,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.4333652924256951,0.023125,0.22794117647058823,0.0,0.0,0.02408256880733945,
0.8,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.40268456375838924,0.11,0.375,0.0,0.0036101083032490976,0.0034403669724770644,
0.9,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.32694151486097794,0.241875,0.6151960784313726,0.01125,0.01444043321299639,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.2521572387344199,0.26375,0.6470588235294118,0.08,0.010830324909747292,0.0,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
