scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.019175455417066157,0.0,0.0,0.0,0.0,0.0011467889908256881,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.087248322147651,0.0,0.0,0.0,0.0036101083032490976,0.010321100917431193,
0.6000000000000001,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.12559923298178333,0.0075,0.0,0.0,0.1299638989169675,0.010321100917431193,
0.7000000000000001,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.07766059443911794,0.184375,0.0024509803921568627,0.0,0.20216606498194944,0.005733944954128441,
0.8,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.040268456375838924,0.2375,0.007352941176470588,0.0025,0.33935018050541516,0.0,
0.9,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.02109300095877277,0.220625,0.02696078431372549,0.068125,0.51985559566787,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.010546500479386385,0.214375,0.04411764705882353,0.2375,0.516245487364621,0.0,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.013422818791946308,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.09395973154362416,0.0,0.0024509803921568627,0.0,0.11552346570397112,0.0034403669724770644,
0.6000000000000001,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.17353787152444872,0.03125,0.0784313725490196,0.08625,0.2851985559566787,0.021788990825688075,
0.7000000000000001,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.14285714285714285,0.19875,0.2916666666666667,0.42625,0.259927797833935,0.009174311926605505,
0.8,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.08341323106423777,0.239375,0.3112745098039216,0.58375,0.20216606498194944,0.0034403669724770644,
0.9,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.04314477468839885,0.229375,0.3161764705882353,0.62625,0.11552346570397112,0.0,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.023969319271332695,0.2175,0.3161764705882353,0.644375,0.09025270758122744,0.0,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.032598274209012464,0.0,0.0,0.0,0.02888086642599278,0.0011467889908256881,
0.6000000000000001,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.10738255033557047,0.001875,0.014705882352941176,0.00125,0.21299638989169675,0.010321100917431193,
0.7000000000000001,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.13231064237775647,0.05375,0.12009803921568628,0.098125,0.27075812274368233,0.008027522935779817,
0.8,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.08533077660594439,0.190625,0.29411764705882354,0.37875,0.2563176895306859,0.005733944954128441,
0.9,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.045062320230105465,0.220625,0.3112745098039216,0.53,0.21660649819494585,0.0011467889908256881,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.02588686481303931,0.21,0.3137254901960784,0.60125,0.148014440433213,0.0,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.01725790987535954,0.0,0.0,0.0,0.007220216606498195,0.0,
0.6000000000000001,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.059443911792905084,0.0,0.0024509803921568627,0.0,0.11913357400722022,0.0034403669724770644,
0.7000000000000001,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.09300095877277086,0.0125,0.029411764705882353,0.008125,0.259927797833935,0.010321100917431193,
0.8,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.06711409395973154,0.09625,0.1715686274509804,0.1375,0.26353790613718414,0.0045871559633027525,
0.9,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.04410354745925216,0.2,0.29411764705882354,0.375,0.27075812274368233,0.0022935779816513763,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.023969319271332695,0.210625,0.29901960784313725,0.514375,0.23104693140794225,0.0,
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.4,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.04218600191754554,0.0,0.0,0.0,0.0,0.10091743119266056,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.3480345158197507,0.0,0.0,0.0,0.0,0.4736238532110092,
0.6000000000000001,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5167785234899329,0.009375,0.007352941176470588,0.0,0.0,0.6502293577981652,
0.7000000000000001,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.538830297219559,0.025625,0.11274509803921569,0.0,0.0,0.5194954128440367,
0.8,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5225311601150527,0.07375,0.3014705882352941,0.0,0.0,0.3165137614678899,
0.9,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.47746883988494726,0.221875,0.5441176470588235,0.01,0.0036101083032490976,0.1559633027522936,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.42090124640460214,0.29,0.6421568627450981,0.06625,0.021660649819494584,0.051605504587155966,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.4,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.024928092042186004,0.0,0.0,0.0,0.0,0.05619266055045872,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.27804410354745923,0.0,0.0024509803921568627,0.0,0.0,0.37270642201834864,
0.6000000000000001,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5522531160115053,0.00375,0.17401960784313725,0.0175,0.0,0.6639908256880734,
0.7000000000000001,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.588686481303931,0.041875,0.33578431372549017,0.1825,0.0036101083032490976,0.6238532110091743,
0.8,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.585810162991371,0.185625,0.49754901960784315,0.355625,0.032490974729241874,0.4805045871559633,
0.9,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.573346116970278,0.290625,0.5735294117647058,0.436875,0.04693140794223827,0.28784403669724773,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5426653883029722,0.3125,0.6225490196078431,0.45,0.04693140794223827,0.15940366972477063,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.005752636625119847,0.0,0.0,0.0,0.0,0.022935779816513763,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.12464046021093,0.0,0.0,0.0,0.0,0.231651376146789,
0.6000000000000001,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.4247363374880153,0.000625,0.00980392156862745,0.0,0.0,0.5768348623853211,
0.7000000000000001,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5743048897411314,0.008125,0.20588235294117646,0.01375,0.0,0.7305045871559633,
0.8,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5906040268456376,0.035,0.3627450980392157,0.118125,0.0,0.6330275229357798,
0.9,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5819750719079578,0.130625,0.5196078431372549,0.23375,0.0,0.5137614678899083,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5647171620325983,0.2475,0.5735294117647058,0.28375,0.021660649819494584,0.36009174311926606,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.010321100917431193,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.052732502396931925,0.0,0.0,0.0,0.0,0.1444954128440367,
0.6000000000000001,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.31543624161073824,0.0,0.0024509803921568627,0.0,0.0,0.49655963302752293,
0.7000000000000001,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5340364333652924,0.00375,0.03431372549019608,0.000625,0.0,0.7293577981651376,
0.8,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5838926174496645,0.014375,0.23774509803921567,0.0225,0.0,0.7213302752293578,
0.9,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5800575263662512,0.05125,0.4387254901960784,0.128125,0.0,0.6146788990825688,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5704697986577181,0.128125,0.5318627450980392,0.220625,0.0,0.4896788990825688,
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.00862895493767977,0.0,0.0,0.0,0.0,0.0,0.06369783756625957
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.08053691275167785,0.0,0.0,0.0,0.0,0.0011467889908256881,0.46517405182921145
0.6000000000000001,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.1332694151486098,0.00375,0.0,0.0,0.0,0.005733944954128441,0.6943746713355377
0.7000000000000001,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.11025886864813039,0.014375,0.0,0.0,0.0,0.0022935779816513763,0.7322537118379336
0.8,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.06999041227229147,0.014375,0.0,0.0,0.0,0.0,0.7388907567327347
0.9,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.04314477468839885,0.015,0.0,0.0,0.0,0.0,0.726348635265549
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.023010546500479387,0.01375,0.0024509803921568627,0.0,0.0,0.0,0.7101735353061601
