dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,0.40939597315436244,0.003125,0.0,0.0,0.0,0.010321100917431193,-0.0323030368810438
glue-cola,glue-mnli,glue-qqp,0.30105465004793863,0.001875,0.0,0.0,0.0,0.0022935779816513763,
glue-cola,glue-mnli,glue-rte,0.3547459252157239,0.001875,0.0,0.0,0.23465703971119134,0.0,
glue-cola,glue-mnli,glue-sst2,0.5465004793863855,0.005,0.0,0.0,0.0,0.8589449541284404,
glue-cola,glue-mnli,glue-stsb,0.2713326941514861,0.00125,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-qqp,0.26462128475551294,0.0,0.0,0.0,0.0,0.0022935779816513763,-0.0323030368810438
glue-cola,glue-mrpc,glue-rte,0.31351869606903165,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
glue-cola,glue-mrpc,glue-sst2,0.5915627996164909,0.0,0.0,0.0,0.0,0.8222477064220184,
glue-cola,glue-mrpc,glue-stsb,0.23969319271332695,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-qqp,glue-rte,0.20517737296260785,0.0,0.0,0.0,0.036101083032490974,0.0,
glue-cola,glue-qqp,glue-sst2,0.538830297219559,0.0,0.0,0.0,0.0,0.661697247706422,
glue-cola,glue-qqp,glue-stsb,0.15148609779482264,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-rte,glue-sst2,0.5800575263662512,0.0,0.0,0.0,0.0,0.7477064220183486,
glue-cola,glue-rte,glue-stsb,0.18216682646212848,0.0,0.0,0.0,0.0036101083032490976,0.0,
glue-cola,glue-sst2,glue-stsb,0.5407478427612655,0.0,0.0,0.0,0.0,0.7155963302752294,
glue-mnli,glue-mrpc,glue-qqp,0.0,0.001875,0.0,0.0,0.0,0.0,-0.0323030368810438
glue-mnli,glue-mrpc,glue-rte,0.0,0.00375,0.0,0.0,0.37545126353790614,0.0,
glue-mnli,glue-mrpc,glue-sst2,0.0,0.005625,0.0,0.0,0.0,0.6353211009174312,
glue-mnli,glue-mrpc,glue-stsb,0.0,0.00125,0.0,0.0,0.0,0.0,
glue-mnli,glue-qqp,glue-rte,0.0,0.0025,0.0,0.0,0.296028880866426,0.0,
glue-mnli,glue-qqp,glue-sst2,0.0,0.003125,0.0,0.0,0.0,0.34059633027522934,
glue-mnli,glue-qqp,glue-stsb,0.0,0.000625,0.0,0.0,0.0,0.0,
glue-mnli,glue-rte,glue-sst2,0.0,0.001875,0.0,0.0,0.21660649819494585,0.27522935779816515,
glue-mnli,glue-rte,glue-stsb,0.0,0.00625,0.0,0.0,0.40794223826714804,0.0,
glue-mnli,glue-sst2,glue-stsb,0.0,0.005625,0.0,0.0,0.0,0.12614678899082568,-0.010956760199023178
glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.1371841155234657,0.0,
glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.29128440366972475,
glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.30275229357798167,
glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0036101083032490976,0.0,
glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.1834862385321101,
glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.010830324909747292,0.08830275229357798,
glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0036101083032490976,0.0,
glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.11467889908256881,
glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0036101083032490976,0.021788990825688075,
