dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.05177372962607862,0.000625,0.0,0.0,0.0,0.0011467889908256881,
glue-cola,glue-mnli,glue-mrpc,glue-rte,0.07574304889741132,0.0,0.0,0.0,0.007220216606498195,0.0,-0.0323030368810438
glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.2722914669223394,0.00125,0.0,0.0,0.0,0.6639908256880734,
glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0488974113135187,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-qqp,glue-rte,0.03547459252157239,0.0,0.0,0.0,0.0036101083032490976,0.0,
glue-cola,glue-mnli,glue-qqp,glue-sst2,0.1716203259827421,0.00125,0.0,0.0,0.0,0.4552752293577982,
glue-cola,glue-mnli,glue-qqp,glue-stsb,0.024928092042186004,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-rte,glue-sst2,0.22914669223394055,0.000625,0.0,0.0,0.0,0.42201834862385323,
glue-cola,glue-mnli,glue-rte,glue-stsb,0.031639501438159155,0.0,0.0,0.0,0.039711191335740074,0.0,
glue-cola,glue-mnli,glue-sst2,glue-stsb,0.16778523489932887,0.00125,0.0,0.0,0.0,0.30045871559633025,
glue-cola,glue-mrpc,glue-qqp,glue-rte,0.03451581975071908,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.18791946308724833,0.0,0.0,0.0,0.0,0.4013761467889908,
glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.023010546500479387,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-rte,glue-sst2,0.22722914669223393,0.0,0.0,0.0,0.0,0.4139908256880734,
glue-cola,glue-mrpc,glue-rte,glue-stsb,0.030680728667305847,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.17545541706615533,0.0,0.0,0.0,0.0,0.3486238532110092,
glue-cola,glue-qqp,glue-rte,glue-sst2,0.15244487056567593,0.0,0.0,0.0,0.0,0.18463302752293578,
glue-cola,glue-qqp,glue-rte,glue-stsb,0.015340364333652923,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-qqp,glue-sst2,glue-stsb,0.11792905081495686,0.0,0.0,0.0,0.0,0.24885321100917432,
glue-cola,glue-rte,glue-sst2,glue-stsb,0.14956855225311602,0.0,0.0,0.0,0.0,0.1341743119266055,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.010830324909747292,0.0,-0.0323030368810438
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.000625,0.0,0.0,0.0,0.12729357798165136,
glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.000625,0.0,0.0,0.0036101083032490976,0.09518348623853211,
glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.02527075812274368,0.0,
glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.000625,0.0,0.0,0.0,0.05504587155963303,
glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.000625,0.0,0.0,0.0036101083032490976,0.033256880733944956,
glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.039711191335740074,0.0,
glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.000625,0.0,0.0,0.0,0.03211009174311927,
glue-mnli,glue-rte,glue-sst2,glue-stsb,0.0,0.000625,0.0,0.0,0.032490974729241874,0.005733944954128441,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.02522935779816514,
glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.03211009174311927,-0.0323030368810438
glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.008027522935779817,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0034403669724770644,
