dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.007670182166826462,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.031639501438159155,0.0,0.0,0.0,0.0,0.2121559633027523,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0028763183125599234,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.053691275167785234,0.0,0.0,0.0,0.0,0.19495412844036697,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.004793863854266539,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.032598274209012464,0.0,0.0,0.0,0.0,0.14105504587155962,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.02109300095877277,0.0,0.0,0.0,0.0,0.09403669724770643,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.009587727708533078,0.0,0.0,0.0,0.0,0.10321100917431193,
glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.02109300095877277,0.0,0.0,0.0,0.0,0.03555045871559633,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.031639501438159155,0.0,0.0,0.0,0.0,0.06536697247706422,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0019175455417066154,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.023969319271332695,0.0,0.0,0.0,0.0,0.09862385321100918,-0.0323030368810438
glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.03355704697986577,0.0,0.0,0.0,0.0,0.040137614678899085,
glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.012464046021093002,0.0,0.0,0.0,0.0,0.01834862385321101,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.010321100917431193,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,
glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
