,task:0,task:1,cosine_similarity
0,glue-cola,glue-cola,1.0
1,glue-cola,glue-mnli,0.1356833428144455
2,glue-cola,glue-mrpc,0.20617833733558655
3,glue-cola,glue-qqp,0.1009472906589508
4,glue-cola,glue-rte,0.0940985456109047
5,glue-cola,glue-sst2,0.28913062810897827
6,glue-cola,glue-stsb,0.08884349465370178
7,glue-mnli,glue-cola,0.1356833428144455
8,glue-mnli,glue-mnli,1.0
9,glue-mnli,glue-mrpc,0.08306039124727249
10,glue-mnli,glue-qqp,0.08777133375406265
11,glue-mnli,glue-rte,0.29582780599594116
12,glue-mnli,glue-sst2,0.17215703427791595
13,glue-mnli,glue-stsb,0.05969519540667534
14,glue-mrpc,glue-cola,0.20617833733558655
15,glue-mrpc,glue-mnli,0.08306039124727249
16,glue-mrpc,glue-mrpc,1.0000001192092896
17,glue-mrpc,glue-qqp,0.23333007097244263
18,glue-mrpc,glue-rte,0.28659674525260925
19,glue-mrpc,glue-sst2,0.11427874863147736
20,glue-mrpc,glue-stsb,0.13331884145736694
21,glue-qqp,glue-cola,0.1009472906589508
22,glue-qqp,glue-mnli,0.08777133375406265
23,glue-qqp,glue-mrpc,0.23333007097244263
24,glue-qqp,glue-qqp,1.0
25,glue-qqp,glue-rte,0.24866893887519836
26,glue-qqp,glue-sst2,0.06833218038082123
27,glue-qqp,glue-stsb,0.03195808082818985
28,glue-rte,glue-cola,0.0940985456109047
29,glue-rte,glue-mnli,0.29582780599594116
30,glue-rte,glue-mrpc,0.28659674525260925
31,glue-rte,glue-qqp,0.24866893887519836
32,glue-rte,glue-rte,1.0000001192092896
33,glue-rte,glue-sst2,0.04258938133716583
34,glue-rte,glue-stsb,0.09132517129182816
35,glue-sst2,glue-cola,0.28913062810897827
36,glue-sst2,glue-mnli,0.17215703427791595
37,glue-sst2,glue-mrpc,0.11427874863147736
38,glue-sst2,glue-qqp,0.06833218038082123
39,glue-sst2,glue-rte,0.04258938133716583
40,glue-sst2,glue-sst2,1.0000001192092896
41,glue-sst2,glue-stsb,0.10251101851463318
42,glue-stsb,glue-cola,0.08884349465370178
43,glue-stsb,glue-mnli,0.05969519540667534
44,glue-stsb,glue-mrpc,0.13331884145736694
45,glue-stsb,glue-qqp,0.03195808082818985
46,glue-stsb,glue-rte,0.09132517129182816
47,glue-stsb,glue-sst2,0.10251101851463318
48,glue-stsb,glue-stsb,1.0000001192092896
