dataset:0,dataset:1,scaling_factor:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-sst2,glue-stsb,0.75,0.5196548418024928,0.240625,0.0,0.0,0.0,0.04357798165137615,
glue-sst2,glue-stsb,0.75,0.6864813039309684,0.0,0.0,0.0,0.0,0.0,
glue-sst2,glue-stsb,0.75,0.6673058485139022,0.0,0.0,0.566875,0.0,0.0,
glue-sst2,glue-stsb,0.75,0.6682646212847555,0.0,0.0,0.0,0.17689530685920576,0.0022935779816513763,
glue-sst2,glue-stsb,0.75,0.6586768935762224,0.0,0.0,0.0,0.0,0.8268348623853211,
glue-sst2,glue-stsb,0.75,0.6912751677852349,0.0,0.0,0.0,0.0,0.0011467889908256881,0.59299054917483
glue-sst2,glue-stsb,0.75,0.0,0.31625,0.5490196078431373,0.0,0.33935018050541516,0.0022935779816513763,
glue-sst2,glue-stsb,0.75,0.0,0.33125,0.0,0.635625,0.0,0.0,
glue-sst2,glue-stsb,0.75,0.0,0.4425,0.0,0.0,0.6353790613718412,0.0,
glue-sst2,glue-stsb,0.75,0.0,0.29125,0.0,0.0,0.0,0.8795871559633027,
glue-sst2,glue-stsb,0.75,0.0,0.440625,0.0,0.0,0.0,0.0,0.616953592082092
glue-sst2,glue-stsb,0.75,0.0,0.0,0.678921568627451,0.78125,0.0,0.0,0.017903697642506756
glue-sst2,glue-stsb,0.75,0.0,0.0,0.0024509803921568627,0.0,0.6498194945848376,0.0,
glue-sst2,glue-stsb,0.75,0.0,0.000625,0.24509803921568626,0.0,0.0,0.9094036697247706,
glue-sst2,glue-stsb,0.75,0.0,0.0,0.02696078431372549,0.0,0.0,0.0,0.5682231517397583
glue-sst2,glue-stsb,0.75,0.0,0.0,0.0,0.6525,0.49458483754512633,0.0,
glue-sst2,glue-stsb,0.75,0.0,0.000625,0.0,0.760625,0.0,0.9036697247706422,
glue-sst2,glue-stsb,0.75,0.0,0.0,0.0,0.678125,0.0,0.0,0.6209407101359926
glue-sst2,glue-stsb,0.75,0.0,0.0,0.0,0.0,0.4368231046931408,0.911697247706422,
glue-sst2,glue-stsb,0.75,0.0,0.0,0.0,0.0,0.26714801444043323,0.0,0.6396903282321258
glue-sst2,glue-stsb,0.75,0.0,0.0,0.0,0.0,0.0,0.8669724770642202,0.573839469610662
