dataset:0,dataset:1,dataset:2,dataset:3,scaling_factor:2,scaling_factor:3,scaling_factor:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.5522531160115053,0.1625,0.0,0.62375,0.0,0.014908256880733946,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.6366251198465963,0.225,0.0,0.0,0.5379061371841155,0.0,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.3077660594439118,0.173125,0.0,0.0,0.0,0.8967889908256881,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.6855225311601151,0.164375,0.0,0.0,0.0,0.0,0.5399203237167958
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.6174496644295302,0.048125,0.0,0.420625,0.5451263537906137,0.0034403669724770644,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.36337488015340363,0.121875,0.0,0.0,0.0,0.8520642201834863,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.4899328859060403,0.198125,0.0,0.08125,0.0,0.0022935779816513763,0.4976085400263951
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.311601150527325,0.178125,0.0,0.0,0.0,0.9013761467889908,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.6816874400767018,0.363125,0.0,0.0,0.5126353790613718,0.0,0.5181617640723423
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.5234899328859061,0.16,0.0,0.0,0.0,0.8853211009174312,0.47655901996916833
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.5896452540747843,0.0,0.0,0.27875,0.47653429602888087,0.0,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.5302013422818792,0.0,0.0,0.0,0.0,0.8451834862385321,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.6807286673058485,0.0,0.0,0.3375,0.0,0.0,0.35819005275523114
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.5752636625119847,0.0,0.0,0.0,0.0,0.8727064220183486,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.6720997123681688,0.0,0.0,0.0,0.0,0.0,0.5357497638371992
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.6701821668264621,0.0,0.0,0.0,0.0,0.3302752293577982,0.6730430788953493
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.5685522531160115,0.0,0.0,0.0,0.007220216606498195,0.8784403669724771,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.6577181208053692,0.0,0.0,0.0,0.07581227436823104,0.0,0.5775477790996202
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.6644295302013423,0.0,0.0,0.0,0.0,0.5091743119266054,0.664848302788506
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.4697986577181208,0.0,0.0,0.0,0.0,0.8692660550458715,0.603302446424896
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.0,0.230625,0.0,0.48875,0.5703971119133574,0.0,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.0,0.304375,0.0,0.3575,0.0,0.8600917431192661,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.0,0.30875,0.09558823529411764,0.468125,0.018050541516245487,0.0,0.32882152104016626
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.0,0.290625,0.0,0.0,0.1371841155234657,0.8853211009174312,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.0,0.421875,0.0,0.0,0.48375451263537905,0.0,0.2137949273397294
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.0,0.296875,0.0,0.0,0.0,0.7419724770642202,0.3799680799967327
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.0,0.281875,0.0,0.0,0.35379061371841153,0.9036697247706422,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.0,0.395,0.0,0.0,0.5595667870036101,0.0,0.1245199802493889
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.0,0.25,0.0,0.0,0.0,0.8555045871559633,0.2602799827365993
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.75,0.75,1.0,0.0,0.33875,0.0,0.0,0.51985559566787,0.48623853211009177,-0.029193430400519697
