dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,scaling_factor:2,scaling_factor:3,scaling_factor:4,scaling_factor:5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.35570469798657717,0.02,0.0,0.058125,0.47653429602888087,0.0,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.3000958772770853,0.21625,0.0,0.0125,0.0,0.8589449541284404,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.6299137104506232,0.13125,0.0,0.25625,0.0,0.0,0.42090266334261867
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.2809204218600192,0.1675,0.0,0.0,0.0,0.875,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.6615532118887824,0.1675,0.0,0.0,0.2815884476534296,0.0,0.4491652450274693
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.40651965484180247,0.1225,0.0,0.0,0.0,0.8440366972477065,0.43321019466472505
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.25023969319271333,0.178125,0.0,0.0,0.0,0.8967889908256881,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.5963566634707574,0.018125,0.0,0.0,0.021660649819494584,0.0,0.5768955860666666
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.5349952061361457,0.17875,0.0,0.0,0.0,0.643348623853211,0.6195601852713116
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.43815915627996166,0.20625,0.0,0.0,0.0,0.8463302752293578,0.5333978929197667
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.36720997123681687,0.000625,0.0,0.003125,0.20938628158844766,0.7557339449541285,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.5062320230105465,0.0,0.0,0.0,0.16606498194945848,0.0,0.4937630702858801
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.5704697986577181,0.0,0.0,0.0,0.0,0.29701834862385323,0.5909178063518961
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.6423777564717162,0.0,0.0,0.0,0.0,0.0194954128440367,0.600103089709224
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.6356663470757431,0.0,0.0,0.0,0.0,0.05504587155963303,0.6139493467298253
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.0,0.279375,0.0,0.000625,0.05776173285198556,0.8979357798165137,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.0,0.2675,0.0,0.0,0.15162454873646208,0.0,0.32178715306210676
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.0,0.295,0.0,0.00125,0.0,0.7408256880733946,0.3656901275423455
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.0,0.29875,0.0,0.0,0.04332129963898917,0.588302752293578,0.4977075878861562
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.0,0.273125,0.0,0.0,0.45126353790613716,0.8704128440366973,0.2532286391289128
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,1.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.2786697247706422,0.4942060032741987
