dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,0.6347075743048898,0.349375,0.0,0.0,0.0036101083032490976,0.10665137614678899,
glue-cola,glue-mrpc,0.675934803451582,0.0,0.5196078431372549,0.0,0.0,0.028669724770642203,
glue-cola,glue-qqp,0.6740172579098753,0.0,0.0,0.59125,0.0,0.0022935779816513763,
glue-cola,glue-rte,0.6692233940556088,0.0,0.0,0.0,0.35379061371841153,0.0,
glue-cola,glue-sst2,0.660594439117929,0.0,0.0,0.0,0.0,0.823394495412844,
glue-cola,glue-stsb,0.673058485139022,0.0,0.0,0.0,0.0,0.0,0.5410673700506566
glue-mnli,glue-mrpc,0.0,0.32375,0.5024509803921569,0.0,0.0036101083032490976,0.006880733944954129,
glue-mnli,glue-qqp,0.0,0.32625,0.0,0.538125,0.0,0.0,
glue-mnli,glue-rte,0.0,0.425625,0.0,0.0,0.5306859205776173,0.0,
glue-mnli,glue-sst2,0.0,0.31875,0.0,0.0,0.0036101083032490976,0.8256880733944955,
glue-mnli,glue-stsb,0.0,0.40625,0.0,0.0,0.01444043321299639,0.0,0.3726108033406265
glue-mrpc,glue-qqp,0.0,0.0,0.6397058823529411,0.62375,0.0,0.0,0.01613684325477986
glue-mrpc,glue-rte,0.0,0.0,0.4068627450980392,0.0,0.38267148014440433,0.0,-0.004508094795783378
glue-mrpc,glue-sst2,0.0,0.0,0.6151960784313726,0.0,0.0,0.8532110091743119,
glue-mrpc,glue-stsb,0.0,0.0,0.13480392156862744,0.0,0.0,0.0,0.17332084209880255
glue-qqp,glue-rte,0.0,0.0,0.0,0.625,0.5306859205776173,0.0,
glue-qqp,glue-sst2,0.0,0.0,0.0,0.42375,0.0,0.8658256880733946,
glue-qqp,glue-stsb,0.0,0.0,0.0,0.52625,0.0,0.0,0.516456275497157
glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.21660649819494585,0.8612385321100917,
glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.2563176895306859,0.0,0.5487455207913114
glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.7637614678899083,0.37413119307525866
