dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,0.6490891658676894,0.3,0.5955882352941176,0.0,0.0036101083032490976,0.020642201834862386,
glue-cola,glue-mnli,glue-qqp,0.5417066155321189,0.29,0.0,0.45875,0.0,0.12844036697247707,
glue-cola,glue-mnli,glue-rte,0.6452540747842761,0.334375,0.0,0.0,0.516245487364621,0.0022935779816513763,
glue-cola,glue-mnli,glue-sst2,0.5340364333652924,0.3125,0.0,0.0,0.0036101083032490976,0.7935779816513762,
glue-cola,glue-mnli,glue-stsb,0.675934803451582,0.36625,0.0,0.0,0.0036101083032490976,0.0,0.4265906779624795
glue-cola,glue-mrpc,glue-qqp,0.6673058485139022,0.0,0.5392156862745098,0.63625,0.0,0.0011467889908256881,
glue-cola,glue-mrpc,glue-rte,0.6577181208053692,0.0,0.22303921568627452,0.0,0.3140794223826715,0.0,
glue-cola,glue-mrpc,glue-sst2,0.6327900287631831,0.0,0.2426470588235294,0.0,0.0,0.5894495412844036,
glue-cola,glue-mrpc,glue-stsb,0.6720997123681688,0.0,0.14215686274509803,0.0,0.0,0.0,0.2938249756055904
glue-cola,glue-qqp,glue-rte,0.6615532118887824,0.0,0.0,0.620625,0.48014440433212996,0.0011467889908256881,
glue-cola,glue-qqp,glue-sst2,0.5934803451581975,0.0,0.0,0.425,0.0,0.7878440366972477,
glue-cola,glue-qqp,glue-stsb,0.6797698945349953,0.0,0.0,0.545625,0.0,0.0011467889908256881,0.5375042327915361
glue-cola,glue-rte,glue-sst2,0.6462128475551294,0.0,0.0,0.0,0.09025270758122744,0.8245412844036697,
glue-cola,glue-rte,glue-stsb,0.663470757430489,0.0,0.0,0.0,0.09025270758122744,0.0,0.5971478482413017
glue-cola,glue-sst2,glue-stsb,0.6644295302013423,0.0,0.0,0.0,0.0,0.6857798165137615,0.4347888410470254
glue-mnli,glue-mrpc,glue-qqp,0.0,0.29625,0.5147058823529411,0.580625,0.0,0.02522935779816514,-0.004508094795783378
glue-mnli,glue-mrpc,glue-rte,0.0,0.351875,0.11764705882352941,0.0,0.5234657039711191,0.0,
glue-mnli,glue-mrpc,glue-sst2,0.0,0.291875,0.40931372549019607,0.0,0.0,0.6009174311926605,
glue-mnli,glue-mrpc,glue-stsb,0.0,0.25875,0.01715686274509804,0.0,0.0,0.0,0.15660184233884522
glue-mnli,glue-qqp,glue-rte,0.0,0.33375,0.0,0.596875,0.6101083032490975,0.0,
glue-mnli,glue-qqp,glue-sst2,0.0,0.3,0.0,0.428125,0.0,0.8635321100917431,
glue-mnli,glue-qqp,glue-stsb,0.0,0.341875,0.0,0.38125,0.018050541516245487,0.0,0.4274414906091733
glue-mnli,glue-rte,glue-sst2,0.0,0.30125,0.0,0.0,0.4584837545126354,0.7740825688073395,
glue-mnli,glue-rte,glue-stsb,0.0,0.188125,0.0,0.0,0.5018050541516246,0.0,0.2848945670666515
glue-mnli,glue-sst2,glue-stsb,0.0,0.30875,0.0,0.0,0.0,0.569954128440367,0.2514573012067444
glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.09068627450980392,0.58375,0.44765342960288806,0.0,-0.004508094795783378
glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.4485294117647059,0.52125,0.0,0.8314220183486238,-0.004508094795783378
glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.04411764705882353,0.5875,0.0,0.0,0.23697826346569797
glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.04656862745098039,0.0,0.1371841155234657,0.7213302752293578,
glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.010830324909747292,0.0,0.18091448401979232
glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.01715686274509804,0.0,0.0,0.6077981651376146,0.11423972581243086
glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.56875,0.4223826714801444,0.8795871559633027,
glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.58875,0.22743682310469315,0.0,0.5940575360632334
glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.4375,0.0,0.7385321100917431,0.3344043109532049
glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0036101083032490976,0.5470183486238532,0.4535553947709158
