dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.5541706615532119,0.3,0.4485294117647059,0.540625,0.0,0.05045871559633028,
glue-cola,glue-mnli,glue-mrpc,glue-rte,0.6414189837008629,0.315625,0.17892156862745098,0.0,0.36101083032490977,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.5378715244487057,0.29625,0.37745098039215685,0.0,0.0,0.3704128440366973,
glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.6701821668264621,0.24125,0.06372549019607843,0.0,0.0,0.0,0.2518105298284596
glue-cola,glue-mnli,glue-qqp,glue-rte,0.5608820709491851,0.2875,0.0,0.58875,0.48375451263537905,0.02981651376146789,
glue-cola,glue-mnli,glue-qqp,glue-sst2,0.3710450623202301,0.30125,0.0,0.298125,0.0,0.7809633027522935,
glue-cola,glue-mnli,glue-qqp,glue-stsb,0.6155321188878236,0.294375,0.0,0.24125,0.0036101083032490976,0.009174311926605505,0.4494632803819416
glue-cola,glue-mnli,glue-rte,glue-sst2,0.535953978906999,0.29125,0.0,0.0,0.30324909747292417,0.7339449541284404,
glue-cola,glue-mnli,glue-rte,glue-stsb,0.6548418024928092,0.14625,0.0,0.0,0.48014440433212996,0.0,0.40275323660117496
glue-cola,glue-mnli,glue-sst2,glue-stsb,0.6078619367209971,0.303125,0.0,0.0,0.0,0.37729357798165136,0.30086801809119784
glue-cola,glue-mrpc,glue-qqp,glue-rte,0.6308724832214765,0.0,0.01715686274509804,0.555,0.45126353790613716,0.0,-0.004508094795783378
glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.6164908916586769,0.0,0.029411764705882353,0.5475,0.0,0.31536697247706424,
glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.6692233940556088,0.0,0.012254901960784314,0.58875,0.0,0.0,0.31262626096781215
glue-cola,glue-mrpc,glue-rte,glue-sst2,0.6088207094918504,0.0,0.0,0.0,0.07581227436823104,0.4541284403669725,
glue-cola,glue-mrpc,glue-rte,glue-stsb,0.660594439117929,0.0,0.0,0.0,0.0,0.0,0.3399401026518979
glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.6538830297219559,0.0,0.007352941176470588,0.0,0.0,0.22821100917431192,0.0893090411864977
glue-cola,glue-qqp,glue-rte,glue-sst2,0.5877277085330777,0.0,0.0,0.536875,0.4007220216606498,0.786697247706422,
glue-cola,glue-qqp,glue-rte,glue-stsb,0.6538830297219559,0.0,0.0,0.505625,0.039711191335740074,0.0,0.5915034547512057
glue-cola,glue-qqp,glue-sst2,glue-stsb,0.6577181208053692,0.0,0.0,0.41625,0.0,0.6055045871559633,0.34067875123707675
glue-cola,glue-rte,glue-sst2,glue-stsb,0.6558005752636625,0.0,0.0,0.0,0.0036101083032490976,0.3532110091743119,0.3326146886840168
glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.30625,0.024509803921568627,0.59625,0.4548736462093863,0.0034403669724770644,
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0009587727708533077,0.29875,0.16911764705882354,0.53,0.0,0.6318807339449541,
glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.275625,0.0,0.474375,0.0,0.0,0.24535503633424185
glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.30625,0.004901960784313725,0.0,0.35018050541516244,0.5470183486238532,
glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.280625,0.0,0.0,0.05776173285198556,0.0,0.25676933017900805
glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.265625,0.01715686274509804,0.0,0.0,0.2901376146788991,0.08517466079164379
glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.29,0.0,0.576875,0.44765342960288806,0.8428899082568807,
glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.335,0.0,0.459375,0.4620938628158845,0.0,0.2855764342246352
glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.285,0.0,0.396875,0.0,0.4208715596330275,0.21557554119877498
glue-mnli,glue-rte,glue-sst2,glue-stsb,0.0,0.230625,0.0,0.0,0.3862815884476534,0.4231651376146789,0.44773461478645515
glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0019175455417066154,0.0,0.0024509803921568627,0.546875,0.4259927797833935,0.8073394495412844,-0.004508094795783378
glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.56875,0.11191335740072202,0.0,0.45193745364365245
glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.4825,0.0,0.4461009174311927,0.11375233990153134
glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.3669724770642202,0.12286036800701605
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.495625,0.0,0.4598623853211009,0.31827126249787024
