dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.5445829338446788,0.283125,0.0024509803921568627,0.599375,0.2490974729241877,0.021788990825688075,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.4506232023010546,0.303125,0.19362745098039216,0.4925,0.0,0.28211009174311924,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.6452540747842761,0.249375,0.0,0.331875,0.0,0.0,0.295621388770312
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.49760306807286675,0.301875,0.0,0.0,0.17328519855595667,0.2889908256880734,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.6356663470757431,0.24625,0.0,0.0,0.05054151624548736,0.0,0.31441161442238125
glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.6433365292425696,0.224375,0.007352941176470588,0.0,0.0,0.0871559633027523,0.10216334691269476
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.3825503355704698,0.285625,0.0,0.533125,0.26714801444043323,0.7580275229357798,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.6289549376797698,0.238125,0.0,0.448125,0.36462093862815886,0.0,0.3915948250928886
glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.5445829338446788,0.28,0.0,0.234375,0.0,0.19954128440366972,0.20817428206906863
glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.6375838926174496,0.193125,0.0,0.0,0.2996389891696751,0.19724770642201836,0.17015852003166992
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.6395014381591563,0.0,0.0,0.44875,0.3971119133574007,0.09288990825688073,-0.004508094795783378
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.6414189837008629,0.0,0.0,0.539375,0.01444043321299639,0.0,0.5156880699931782
glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.6701821668264621,0.0,0.0,0.52375,0.0,0.04128440366972477,0.15744606126379715
glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.6423777564717162,0.0,0.0,0.0,0.0,0.09403669724770643,0.08282810584769905
glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.6519654841802492,0.0,0.0,0.423125,0.0,0.03784403669724771,0.24895896538173923
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.2925,0.0024509803921568627,0.58125,0.2851985559566787,0.6043577981651376,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.305,0.0,0.51875,0.1407942238267148,0.0,0.32781598056312283
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.28125,0.0,0.495,0.0,0.12614678899082568,0.07914352941145902
glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.269375,0.0,0.0,0.01444043321299639,0.18692660550458715,0.18059244280756825
glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.285,0.0,0.466875,0.2779783393501805,0.18463302752293578,0.3696914559085514
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.524375,0.0,0.12270642201834862,0.1685633541242842
