dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,0.673058485139022,0.005625,0.0,0.0,0.0,0.1341743119266055,
glue-cola,glue-mrpc,0.6155321188878236,0.0,0.004901960784313725,0.0,0.0,0.021788990825688075,
glue-cola,glue-qqp,0.6807286673058485,0.0,0.0,0.0,0.0,0.0034403669724770644,
glue-cola,glue-rte,0.6826462128475551,0.0,0.0,0.0,0.007220216606498195,0.0034403669724770644,
glue-cola,glue-sst2,0.3710450623202301,0.0,0.0,0.0,0.0,0.8853211009174312,
glue-cola,glue-stsb,0.6212847555129435,0.0,0.0,0.0,0.0,0.0,0.42183691298056675
glue-mnli,glue-mrpc,0.0,0.005625,0.0392156862745098,0.0,0.0,0.0,-0.0323030368810438
glue-mnli,glue-qqp,0.0,0.046875,0.0,0.078125,0.0,0.0,
glue-mnli,glue-rte,0.0,0.238125,0.0,0.0,0.516245487364621,0.0,
glue-mnli,glue-sst2,0.0,0.00375,0.0,0.0,0.0,0.9105504587155964,
glue-mnli,glue-stsb,0.0,0.000625,0.0,0.0,0.0,0.0,0.5554984851420631
glue-mrpc,glue-qqp,0.0,0.0,0.03676470588235294,0.0,0.0,0.0,-0.0323030368810438
glue-mrpc,glue-rte,0.0,0.0,0.012254901960784314,0.0,0.021660649819494584,0.0,-0.0323030368810438
glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9036697247706422,
glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.05578159817676499
glue-qqp,glue-rte,0.0,0.0,0.0,0.57625,0.47653429602888087,0.0,
glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9002293577981652,
glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.5258672893816669
glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9162844036697247,
glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0036101083032490976,0.0,0.5957133038404816
glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.8899082568807339,-0.022898733167985765
