dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.09204218600191755,0.0,0.0,0.0,0.0,0.0011467889908256881,-0.0323030368810438
glue-cola,glue-mnli,glue-mrpc,glue-rte,0.10738255033557047,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.186960690316395,0.0,0.0,0.0,0.0,0.8623853211009175,
glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.039309683604985615,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-qqp,glue-rte,0.12943432406519656,0.0,0.0,0.0,0.0036101083032490976,0.0,
glue-cola,glue-mnli,glue-qqp,glue-sst2,0.25599232981783315,0.0,0.0,0.0,0.0,0.8451834862385321,
glue-cola,glue-mnli,glue-qqp,glue-stsb,0.046021093000958774,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-rte,glue-sst2,0.32502396931927136,0.0,0.0,0.0,0.0,0.875,
glue-cola,glue-mnli,glue-rte,glue-stsb,0.052732502396931925,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-sst2,glue-stsb,0.12655800575263662,0.0,0.0,0.0,0.0,0.7729357798165137,
glue-cola,glue-mrpc,glue-qqp,glue-rte,0.04697986577181208,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.12943432406519656,0.0,0.0,0.0,0.0,0.7878440366972477,
glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.01821668264621285,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-rte,glue-sst2,0.174496644295302,0.0,0.0,0.0,0.0,0.819954128440367,
glue-cola,glue-mrpc,glue-rte,glue-stsb,0.024928092042186004,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.05656759348034516,0.0,0.0,0.0,0.0,0.6995412844036697,
glue-cola,glue-qqp,glue-rte,glue-sst2,0.286673058485139,0.0,0.0,0.0,0.0,0.8004587155963303,
glue-cola,glue-qqp,glue-rte,glue-stsb,0.027804410354745925,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-qqp,glue-sst2,glue-stsb,0.10450623202301054,0.0,0.0,0.0,0.0,0.7465596330275229,
glue-cola,glue-rte,glue-sst2,glue-stsb,0.14956855225311602,0.0,0.0,0.0,0.0,0.6915137614678899,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.6158256880733946,
glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.6077981651376146,
glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.35206422018348627,
glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.5871559633027523,
glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.38876146788990823,
glue-mnli,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.23853211009174313,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.4415137614678899,
glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.32339449541284404,
glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.22247706422018348,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.2305045871559633,
