dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.02205177372962608,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.059443911792905084,0.0,0.0,0.0,0.0,0.6536697247706422,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.003835091083413231,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.08053691275167785,0.0,0.0,0.0,0.0,0.6685779816513762,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.005752636625119847,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.024928092042186004,0.0,0.0,0.0,0.0,0.5011467889908257,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.11217641418983701,0.0,0.0,0.0,0.0,0.6467889908256881,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.003835091083413231,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.031639501438159155,0.0,0.0,0.0,0.0,0.5401376146788991,
glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.05752636625119847,0.0,0.0,0.0,0.0,0.44495412844036697,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.040268456375838924,0.0,0.0,0.0,0.0,0.5309633027522935,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0019175455417066154,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.016299137104506232,0.0,0.0,0.0,0.0,0.44036697247706424,-0.0323030368810438
glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.023010546500479387,0.0,0.0,0.0,0.0,0.3577981651376147,
glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.028763183125599234,0.0,0.0,0.0,0.0,0.4105504587155963,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.25688073394495414,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.16857798165137614,
glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.09747706422018348,
glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.10206422018348624,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0860091743119266,
