scaling_factor,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mnli,glue-mrpc,0.012464046021093002,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,0.19271332694151486,0.000625,0.0,0.0,0.0,0.0034403669724770644,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,0.5062320230105465,0.005625,0.0,0.0,0.0,0.02408256880733945,
0.4,glue-cola,glue-mnli,glue-mrpc,0.6510067114093959,0.03375,0.0,0.0,0.0,0.0768348623853211,
0.45,glue-cola,glue-mnli,glue-mrpc,0.6740172579098753,0.095,0.0,0.0,0.0,0.1158256880733945,
0.5,glue-cola,glue-mnli,glue-mrpc,0.6586768935762224,0.158125,0.0,0.0,0.0,0.052752293577981654,
0.55,glue-cola,glue-mnli,glue-mrpc,0.6174496644295302,0.18875,0.0,0.0,0.0,0.0194954128440367,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,0.5330776605944392,0.20375,0.0,0.0,0.0,0.0034403669724770644,
0.65,glue-cola,glue-mnli,glue-mrpc,0.4419942473633749,0.2075,0.0,0.0,0.0,0.0,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,0.37296260786193675,0.221875,0.0,0.0,0.0,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,0.3326941514860978,0.22625,0.0,0.0,0.0,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,0.3192713326941515,0.228125,0.0,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,0.31639501438159157,0.234375,0.0,0.0,0.0,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,0.31255992329817833,0.23375,0.0,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,0.31255992329817833,0.231875,0.0,0.0,0.0,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,0.31064237775647174,0.23,0.0,0.0,0.0,0.0,
0.0,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mnli,glue-qqp,0.0019175455417066154,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-mnli,glue-qqp,0.09683604985618409,0.000625,0.0,0.0,0.0,0.0,
0.35000000000000003,glue-cola,glue-mnli,glue-qqp,0.40268456375838924,0.003125,0.0,0.0,0.0,0.0034403669724770644,
0.4,glue-cola,glue-mnli,glue-qqp,0.6126558005752637,0.021875,0.0,0.0,0.0,0.0194954128440367,
