scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.007670182166826462,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.14285714285714285,0.000625,0.0,0.0,0.007220216606498195,0.0011467889908256881,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.47651006711409394,0.004375,0.0,0.0,0.1371841155234657,0.0034403669724770644,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.6366251198465963,0.04375,0.0,0.0,0.36101083032490977,0.01261467889908257,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.6251198465963567,0.1225,0.0,0.06875,0.4223826714801444,0.008027522935779817,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.5455417066155321,0.183125,0.0,0.17,0.4043321299638989,0.0011467889908256881,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.4218600191754554,0.196875,0.0,0.101875,0.3935018050541516,0.0,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.34132310642377756,0.2075,0.0,0.045625,0.37184115523465705,0.0,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.31831255992329816,0.211875,0.0,0.018125,0.34657039711191334,0.0,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.3096836049856184,0.211875,0.0,0.00625,0.3140794223826715,0.0,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.3096836049856184,0.2,0.0,0.00125,0.26353790613718414,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.3087248322147651,0.18125,0.0,0.000625,0.19855595667870035,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.3087248322147651,0.145625,0.0,0.0,0.15162454873646208,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.3087248322147651,0.120625,0.0,0.0,0.10830324909747292,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.3087248322147651,0.0875,0.0,0.0,0.06498194945848375,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.3068072866730585,0.059375,0.0,0.0,0.05415162454873646,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.30488974113135187,0.045625,0.0,0.0,0.04332129963898917,0.0,
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.005733944954128441,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.031639501438159155,0.0,0.0,0.0,0.0,0.2121559633027523,
