scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,dataset:6,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0019175455417066154,0.0,0.0,0.0,0.0,0.008027522935779817,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.1629913710450623,0.000625,0.0,0.0,0.0036101083032490976,0.14105504587155962,
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5627996164908916,0.010625,0.0,0.0,0.010830324909747292,0.29128440366972475,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.6116970278044104,0.08875,0.0,0.0,0.021660649819494584,0.3119266055045872,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.4956855225311601,0.184375,0.0,0.0,0.021660649819494584,0.1743119266055046,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.36720997123681687,0.22,0.0,0.0,0.01444043321299639,0.045871559633027525,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.31639501438159157,0.23625,0.0,0.0,0.0036101083032490976,0.014908256880733946,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.3144774688398849,0.2425,0.0,0.0,0.0036101083032490976,0.006880733944954129,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.3087248322147651,0.24375,0.0,0.0,0.0,0.0,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.3087248322147651,0.238125,0.0,0.0,0.0,0.0,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.3087248322147651,0.224375,0.0,0.0,0.0,0.0,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.3096836049856184,0.206875,0.0,0.0,0.0,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.3087248322147651,0.1825,0.0,0.0,0.0,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.3058485139022052,0.1525,0.0,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.30393096836049854,0.10875,0.0,0.0,0.0,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.3000958772770853,0.075,0.0,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.29050814956855225,0.0525,0.0,0.0,0.0,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.28475551294343243,0.030625,0.0,0.0,0.0,0.0,
