scaling_factor,k,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,0.25,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,0.059443911792905084,0.00125,0.0,0.0,0.0,0.0011467889908256881,
0.75,0.25,glue-cola,glue-mnli,0.6596356663470757,0.16625,0.0,0.0,0.0,0.09288990825688073,
1.0,0.25,glue-cola,glue-mnli,0.5838926174496645,0.323125,0.0,0.0,0.0,0.19954128440366972,
0.0,0.5,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,0.006711409395973154,0.000625,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,0.6308724832214765,0.081875,0.0,0.0,0.0,0.027522935779816515,
1.0,0.5,glue-cola,glue-mnli,0.6452540747842761,0.32875,0.0,0.0,0.0,0.23279816513761467,
0.0,0.75,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,0.006711409395973154,0.000625,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,0.6308724832214765,0.081875,0.0,0.0,0.0,0.027522935779816515,
1.0,0.75,glue-cola,glue-mnli,0.6452540747842761,0.32875,0.0,0.0,0.0,0.23279816513761467,
0.0,1.0,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,0.006711409395973154,0.000625,0.0,0.0,0.0,0.0,
