scaling_factor,k,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,0.026845637583892617,0.000625,0.0,0.0,0.0,0.0011467889908256881,
0.75,0.25,glue-cola,glue-mnli,glue-mrpc,0.6567593480345159,0.07625,0.0,0.0,0.0,0.051605504587155966,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,0.6174496644295302,0.26875,0.0,0.0,0.0,0.051605504587155966,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,0.43815915627996166,0.00875,0.0,0.0,0.0,0.008027522935779817,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,0.6663470757430489,0.16875,0.0,0.0,0.0,0.09288990825688073,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-mrpc,0.43815915627996166,0.00875,0.0,0.0,0.0,0.008027522935779817,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,0.6663470757430489,0.16875,0.0,0.0,0.0,0.09288990825688073,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-mrpc,0.43815915627996166,0.00875,0.0,0.0,0.0,0.008027522935779817,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,0.6663470757430489,0.16875,0.0,0.0,0.0,0.09288990825688073,
0.0,0.25,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-qqp,0.003835091083413231,0.000625,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-qqp,0.613614573346117,0.0475,0.0,0.00125,0.0,0.021788990825688075,
1.0,0.25,glue-cola,glue-mnli,glue-qqp,0.4784276126558006,0.2425,0.0,0.349375,0.0,0.1731651376146789,
0.0,0.5,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-qqp,0.28859060402684567,0.004375,0.0,0.0,0.0,0.0022935779816513763,
1.0,0.5,glue-cola,glue-mnli,glue-qqp,0.6366251198465963,0.1375,0.0,0.035,0.0,0.045871559633027525,
0.0,0.75,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-qqp,0.28859060402684567,0.004375,0.0,0.0,0.0,0.0022935779816513763,
1.0,0.75,glue-cola,glue-mnli,glue-qqp,0.6366251198465963,0.1375,0.0,0.035,0.0,0.045871559633027525,
0.0,1.0,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-qqp,0.28859060402684567,0.004375,0.0,0.0,0.0,0.0022935779816513763,
1.0,1.0,glue-cola,glue-mnli,glue-qqp,0.6366251198465963,0.1375,0.0,0.035,0.0,0.045871559633027525,
0.0,0.25,glue-cola,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-rte,0.009587727708533078,0.0,0.0,0.0,0.010830324909747292,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-rte,0.6222435282837967,0.074375,0.0,0.0,0.37545126353790614,0.0,
