scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.5599232981783318,0.025625,0.0,0.0,0.0,0.014908256880733946,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.6116970278044104,0.226875,0.0,0.249375,0.0,0.12385321100917432,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.11409395973154363,0.000625,0.0,0.0,0.0,0.0011467889908256881,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.613614573346117,0.06625,0.0,0.0,0.0,0.04243119266055046,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.11409395973154363,0.000625,0.0,0.0,0.0,0.0011467889908256881,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.613614573346117,0.06625,0.0,0.0,0.0,0.04243119266055046,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.11409395973154363,0.000625,0.0,0.0,0.0,0.0011467889908256881,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.613614573346117,0.06625,0.0,0.0,0.0,0.04243119266055046,
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.004793863854266539,0.0,0.0,0.0,0.0036101083032490976,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.548418024928092,0.013125,0.0,0.0,0.2924187725631769,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.6778523489932886,0.2675,0.0,0.0,0.4404332129963899,0.0011467889908256881,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.08820709491850431,0.000625,0.0,0.0,0.04693140794223827,0.0,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.5790987535953979,0.045625,0.0,0.0,0.3971119133574007,0.0011467889908256881,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
