scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.3815915627996165,0.003125,0.0,0.0,0.1263537906137184,0.0011467889908256881,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.6577181208053692,0.13,0.0,0.026875,0.48736462093862815,0.013761467889908258,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.023010546500479387,0.0,0.0,0.0,0.007220216606498195,0.0,-0.0323030368810438
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.35091083413231067,0.005,0.0,0.0,0.26714801444043323,0.0022935779816513763,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.023010546500479387,0.0,0.0,0.0,0.007220216606498195,0.0,-0.0323030368810438
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.35091083413231067,0.005,0.0,0.0,0.26714801444043323,0.0022935779816513763,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.023010546500479387,0.0,0.0,0.0,0.007220216606498195,0.0,-0.0323030368810438
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.35091083413231067,0.005,0.0,0.0,0.26714801444043323,0.0022935779816513763,
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0009587727708533077,0.0,0.0,0.0,0.0,0.028669724770642203,
0.75,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5541706615532119,0.016875,0.0,0.0,0.0,0.6926605504587156,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.4841802492809204,0.213125,0.0,0.01375,0.0,0.7419724770642202,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0034403669724770644,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.14477468839884947,0.000625,0.0,0.0,0.0,0.3073394495412844,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5963566634707574,0.049375,0.0,0.0,0.0,0.7947247706422018,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0034403669724770644,
0.75,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.14477468839884947,0.000625,0.0,0.0,0.0,0.3073394495412844,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5963566634707574,0.049375,0.0,0.0,0.0,0.7947247706422018,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0034403669724770644,
0.75,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.14477468839884947,0.000625,0.0,0.0,0.0,0.3073394495412844,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5963566634707574,0.049375,0.0,0.0,0.0,0.7947247706422018,
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
0.75,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.4582933844678811,0.0175,0.0,0.0,0.0,0.0022935779816513763,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.6423777564717162,0.208125,0.0,0.001875,0.0,0.022935779816513763,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.028763183125599234,0.000625,0.0,0.0,0.0,0.0,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.4170661553211889,0.03,0.0,0.0,0.0,0.008027522935779817,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.028763183125599234,0.000625,0.0,0.0,0.0,0.0,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.4170661553211889,0.03,0.0,0.0,0.0,0.008027522935779817,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.028763183125599234,0.000625,0.0,0.0,0.0,0.0,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.4170661553211889,0.03,0.0,0.0,0.0,0.008027522935779817,
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0009587727708533077,0.0,0.0,0.0,0.0,0.011467889908256881,
0.75,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.5474592521572388,0.0075,0.0,0.0,0.07942238267148015,0.38990825688073394,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.5982742090124641,0.189375,0.0,0.0,0.1299638989169675,0.5894495412844036,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0011467889908256881,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.10642377756471716,0.000625,0.0,0.0,0.0036101083032490976,0.14793577981651376,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.6126558005752637,0.030625,0.0,0.0,0.11913357400722022,0.5355504587155964,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0011467889908256881,
0.75,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.10642377756471716,0.000625,0.0,0.0,0.0036101083032490976,0.14793577981651376,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.6126558005752637,0.030625,0.0,0.0,0.11913357400722022,0.5355504587155964,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0011467889908256881,
0.75,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.10642377756471716,0.000625,0.0,0.0,0.0036101083032490976,0.14793577981651376,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.6126558005752637,0.030625,0.0,0.0,0.11913357400722022,0.5355504587155964,
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.41227229146692235,0.005625,0.0,0.0,0.33212996389891697,0.0,
