dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,0.6826462128475551,0.069375,0.0,0.0,0.0,0.05619266055045872,
glue-cola,glue-mrpc,0.6692233940556088,0.0,0.007352941176470588,0.0,0.0,0.0022935779816513763,
glue-cola,glue-qqp,0.6500479386385427,0.0,0.0,0.0,0.0,0.005733944954128441,
glue-cola,glue-rte,0.663470757430489,0.0,0.0,0.0,0.10108303249097472,0.0,
glue-cola,glue-sst2,0.5263662511984659,0.0,0.0,0.0,0.0,0.9013761467889908,
glue-cola,glue-stsb,0.6423777564717162,0.0,0.0,0.0,0.0,0.0,0.6743437563980622
glue-mnli,glue-mrpc,0.0,0.243125,0.19607843137254902,0.0,0.18772563176895307,0.008027522935779817,
glue-mnli,glue-qqp,0.0,0.171875,0.0,0.1575,0.0,0.0,
glue-mnli,glue-rte,0.0,0.346875,0.0,0.0,0.5270758122743683,0.0,
glue-mnli,glue-sst2,0.0,0.148125,0.0,0.0,0.0,0.9151376146788991,
glue-mnli,glue-stsb,0.0,0.0925,0.0,0.0,0.13357400722021662,0.0,0.785771549949824
glue-mrpc,glue-qqp,0.0,0.0,0.3137254901960784,0.59875,0.0,0.0,
glue-mrpc,glue-rte,0.0,0.0,0.08088235294117647,0.0,0.44404332129963897,0.0,
glue-mrpc,glue-sst2,0.0009587727708533077,0.0,0.007352941176470588,0.0,0.0,0.9254587155963303,
glue-mrpc,glue-stsb,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.7417259453566029
glue-qqp,glue-rte,0.0,0.0,0.0,0.643125,0.44765342960288806,0.0,
glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.8658256880733946,
glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.6329961068705547
glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.021660649819494584,0.9059633027522935,
glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.24187725631768953,0.0,0.758389231914804
glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.7511467889908257,0.401461663245111
