dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.03451581975071908,0.0,0.0,0.0,0.0,0.0011467889908256881,
glue-cola,glue-mnli,glue-mrpc,glue-rte,0.08437200383509108,0.0,0.0,0.0,0.11913357400722022,0.0011467889908256881,
glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.2550335570469799,0.0,0.0,0.0,0.0,0.8073394495412844,
glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.03355704697986577,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-qqp,glue-rte,0.015340364333652923,0.0,0.0,0.0,0.007220216606498195,0.0,
glue-cola,glue-mnli,glue-qqp,glue-sst2,0.06423777564717162,0.0,0.0,0.0,0.0,0.48853211009174313,
glue-cola,glue-mnli,glue-qqp,glue-stsb,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-rte,glue-sst2,0.14956855225311602,0.0,0.0,0.0,0.0,0.44954128440366975,
glue-cola,glue-mnli,glue-rte,glue-stsb,0.012464046021093002,0.0,0.0,0.0,0.20577617328519857,0.0,
glue-cola,glue-mnli,glue-sst2,glue-stsb,0.052732502396931925,0.0,0.0,0.0,0.0,0.30619266055045874,
glue-cola,glue-mrpc,glue-qqp,glue-rte,0.009587727708533078,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.09971236816874401,0.0,0.0,0.0,0.0,0.5080275229357798,
glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-rte,glue-sst2,0.19463087248322147,0.0,0.0,0.0,0.0,0.5470183486238532,
glue-cola,glue-mrpc,glue-rte,glue-stsb,0.00862895493767977,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.07478427612655801,0.0,0.0,0.0,0.0,0.5768348623853211,
glue-cola,glue-qqp,glue-rte,glue-sst2,0.0488974113135187,0.0,0.0,0.0,0.0,0.2798165137614679,
glue-cola,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-qqp,glue-sst2,glue-stsb,0.00862895493767977,0.0,0.0,0.0,0.0,0.3348623853211009,
glue-cola,glue-rte,glue-sst2,glue-stsb,0.03547459252157239,0.0,0.0,0.0,0.0,0.12041284403669725,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.061371841155234655,0.0,
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.2809633027522936,
glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.07220216606498195,0.2993119266055046,
glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.3285198555956679,0.0,
glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.22821100917431192,
glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.052752293577981654,
glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.16967509025270758,0.0,
glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.06192660550458716,
glue-mnli,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.08664259927797834,0.005733944954128441,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0871559633027523,
glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.16743119266055045,
glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.06307339449541284,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,
