dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0019175455417066154,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.02588686481303931,0.0,0.0,0.0,0.0,0.2889908256880734,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.04985618408437201,0.0,0.0,0.0,0.0,0.29243119266055045,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0009587727708533077,0.0,0.0,0.0,0.0036101083032490976,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.019175455417066157,0.0,0.0,0.0,0.0,0.24655963302752293,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.005752636625119847,0.0,0.0,0.0,0.0,0.08486238532110092,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.09862385321100918,
glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.004793863854266539,0.0,0.0,0.0,0.0,0.033256880733944956,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.009587727708533078,0.0,0.0,0.0,0.0,0.11926605504587157,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0009587727708533077,0.0,0.0,0.0,0.0,0.1926605504587156,
glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.005752636625119847,0.0,0.0,0.0,0.0,0.09747706422018348,
glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.03211009174311927,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.04128440366972477,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.051605504587155966,
glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.017201834862385322,
glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0011467889908256881,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,
