,task:0,task:1,cosine_similarity
0,glue-cola,glue-cola,1.0000001192092896
1,glue-cola,glue-mnli,0.28120535612106323
2,glue-cola,glue-mrpc,0.29838094115257263
3,glue-cola,glue-qqp,0.2086913138628006
4,glue-cola,glue-rte,0.24890896677970886
5,glue-cola,glue-sst2,0.4329124987125397
6,glue-cola,glue-stsb,0.27398350834846497
7,glue-mnli,glue-cola,0.28120535612106323
8,glue-mnli,glue-mnli,1.0000001192092896
9,glue-mnli,glue-mrpc,0.2432328462600708
10,glue-mnli,glue-qqp,0.23269669711589813
11,glue-mnli,glue-rte,0.30336013436317444
12,glue-mnli,glue-sst2,0.26325273513793945
13,glue-mnli,glue-stsb,0.2513101100921631
14,glue-mrpc,glue-cola,0.29838094115257263
15,glue-mrpc,glue-mnli,0.2432328462600708
16,glue-mrpc,glue-mrpc,1.0000001192092896
17,glue-mrpc,glue-qqp,0.31366169452667236
18,glue-mrpc,glue-rte,0.509358823299408
19,glue-mrpc,glue-sst2,0.2872752249240875
20,glue-mrpc,glue-stsb,0.3537299633026123
21,glue-qqp,glue-cola,0.2086913138628006
22,glue-qqp,glue-mnli,0.23269669711589813
23,glue-qqp,glue-mrpc,0.31366169452667236
24,glue-qqp,glue-qqp,1.0
25,glue-qqp,glue-rte,0.3153949975967407
26,glue-qqp,glue-sst2,0.19408710300922394
27,glue-qqp,glue-stsb,0.21832002699375153
28,glue-rte,glue-cola,0.24890896677970886
29,glue-rte,glue-mnli,0.30336013436317444
30,glue-rte,glue-mrpc,0.509358823299408
31,glue-rte,glue-qqp,0.3153949975967407
32,glue-rte,glue-rte,1.000000238418579
33,glue-rte,glue-sst2,0.24623766541481018
34,glue-rte,glue-stsb,0.3885468542575836
35,glue-sst2,glue-cola,0.4329124987125397
36,glue-sst2,glue-mnli,0.26325273513793945
37,glue-sst2,glue-mrpc,0.2872752249240875
38,glue-sst2,glue-qqp,0.19408710300922394
39,glue-sst2,glue-rte,0.24623766541481018
40,glue-sst2,glue-sst2,1.0
41,glue-sst2,glue-stsb,0.28264012932777405
42,glue-stsb,glue-cola,0.27398350834846497
43,glue-stsb,glue-mnli,0.2513101100921631
44,glue-stsb,glue-mrpc,0.3537299633026123
45,glue-stsb,glue-qqp,0.21832002699375153
46,glue-stsb,glue-rte,0.3885468542575836
47,glue-stsb,glue-sst2,0.28264012932777405
48,glue-stsb,glue-stsb,1.0
