dataset:0,dataset:1,dataset:2,dataset:3,scaling_factor:2,scaling_factor:3,scaling_factor:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.009587727708533078,0.0,0.00980392156862745,0.659375,0.0,0.0,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.105625,0.0,0.0,0.6101083032490975,0.0,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0738255033557047,0.113125,0.0,0.0,0.0,0.8990825688073395,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.12176414189837009,0.00125,0.0,0.0,0.0,0.0,0.7802136961317097
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.006711409395973154,0.14875,0.0,0.00125,0.6931407942238267,0.0,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0009587727708533077,0.091875,0.0,0.0,0.0,0.9071100917431193,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0075,0.0,0.0,0.0,0.0,0.8136165070501566
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.018125,0.0,0.0,0.0,0.9139908256880734,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.829589447626466
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0019175455417066154,0.16625,0.0,0.0,0.0,0.8589449541284404,0.6572985480085473
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.4729241877256318,0.0,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.06807286673058485,0.0,0.0,0.0,0.0,0.9139908256880734,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7632105077131256
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.1332694151486098,0.0,0.0,0.0,0.0,0.9162844036697247,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8386227562357422
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.4956855225311601,0.0,0.0,0.0,0.0,0.09403669724770643,0.8119302857485685
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.016299137104506232,0.0,0.0,0.0,0.0,0.9162844036697247,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8505677552071655
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.2636625119846596,0.0,0.0,0.0,0.0,0.3532110091743119,0.8268010973131872
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8583655333582395
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0475,0.0,0.0,0.48736462093862815,0.0,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.143125,0.0,0.075,0.0,0.8967889908256881,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.22549019607843138,0.0,0.0,0.0,0.6337999707369989
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.028125,0.0,0.0,0.0,0.9185779816513762,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8372886010885047
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.13875,0.0,0.0,0.0,0.7660550458715596,0.7974633495925367
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.014375,0.0,0.0,0.0,0.9128440366972477,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8379410408634818
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.168125,0.0,0.0,0.0,0.8405963302752294,0.7949191127150194
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8220722011217417
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.45126353790613716,0.9185779816513762,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.4151624548736462,0.0,0.6208266887531049
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.875,0.8189009780006049
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.32798165137614677,0.7380911875925705
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8967889908256881,0.7092652131233617
