dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,scaling_factor:2,scaling_factor:3,scaling_factor:4,scaling_factor:5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.6389891696750902,0.0,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.9208715596330275,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8455670219206247
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.9243119266055045,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8352385865039554
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.003835091083413231,0.030625,0.0,0.0,0.0,0.8600917431192661,0.7727909575419939
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.9243119266055045,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8368259211372495
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.02125,0.0,0.0,0.0,0.8887614678899083,0.763110467951357
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.5837155963302753,0.7821492929674255
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.010546500479386385,0.0,0.0,0.0,0.4368231046931408,0.9059633027522935,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.44404332129963897,0.0,0.5507212723293307
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0019175455417066154,0.0,0.0,0.0,0.0,0.8715596330275229,0.7040204478366465
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.024928092042186004,0.0,0.0,0.0,0.0,0.5447247706422018,0.8076845115606248
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0009587727708533077,0.0,0.0,0.0,0.0,0.7626146788990825,0.8258650953372336
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.004375,0.0,0.0,0.02888086642599278,0.9162844036697247,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.01444043321299639,0.0,0.8358420349425809
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.015,0.0,0.0,0.0,0.8646788990825688,0.7644580690004058
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.36009174311926606,0.7671610390833667
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.46674311926605505,0.8128419051520179
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.375,0.7475617276306248
