dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,0.6653883029721956,0.51875,0.0,0.0,0.26353790613718414,0.04357798165137615,
glue-cola,glue-mrpc,0.613614573346117,0.0,0.6862745098039216,0.0,0.0,0.0,
glue-cola,glue-qqp,0.5829338446788112,0.0,0.0,0.686875,0.0,0.0034403669724770644,
glue-cola,glue-rte,0.6625119846596357,0.0,0.0,0.0,0.6750902527075813,0.0,
glue-cola,glue-sst2,0.6586768935762224,0.0,0.0,0.0,0.0,0.8589449541284404,
glue-cola,glue-stsb,0.6826462128475551,0.0,0.0,0.0,0.0,0.0,0.8406090529953525
glue-mnli,glue-mrpc,0.0,0.52125,0.7892156862745098,0.0,0.1371841155234657,0.0,
glue-mnli,glue-qqp,0.0,0.625,0.0,0.80875,0.10469314079422383,0.006880733944954129,
glue-mnli,glue-rte,0.0,0.51125,0.0,0.0,0.5270758122743683,0.0,
glue-mnli,glue-sst2,0.0,0.5325,0.0,0.0,0.33212996389891697,0.841743119266055,
glue-mnli,glue-stsb,0.0,0.353125,0.0,0.0,0.4043321299638989,0.0,0.6549230227038461
glue-mrpc,glue-qqp,0.0,0.0,0.3333333333333333,0.624375,0.0,0.0,
glue-mrpc,glue-rte,0.0,0.0,0.2965686274509804,0.0,0.11552346570397112,0.0,
glue-mrpc,glue-sst2,0.0,0.0,0.7009803921568627,0.0,0.0,0.9002293577981652,
glue-mrpc,glue-stsb,0.0,0.0,0.6127450980392157,0.0,0.0,0.0,0.641266519237452
glue-qqp,glue-rte,0.0,0.0,0.0,0.655,0.5234657039711191,0.0,
glue-qqp,glue-sst2,0.0,0.0,0.0,0.773125,0.0,0.8979357798165137,
glue-qqp,glue-stsb,0.0,0.0,0.0,0.575625,0.0,0.0,0.8289054210099668
glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.5848375451263538,0.9071100917431193,
glue-rte,glue-stsb,0.0,0.020625,0.0,0.0,0.3212996389891697,0.0,0.7084048348098091
glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.8967889908256881,0.8202216988951769
