dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,0.274209012464046,0.395,0.6617647058823529,0.0,0.0036101083032490976,0.0,
glue-cola,glue-mnli,glue-qqp,0.22722914669223393,0.388125,0.0,0.74125,0.0,0.005733944954128441,
glue-cola,glue-mnli,glue-rte,0.6126558005752637,0.39125,0.0,0.0,0.5270758122743683,0.0,
glue-cola,glue-mnli,glue-sst2,0.5273250239693192,0.400625,0.0,0.0,0.12274368231046931,0.6926605504587156,
glue-cola,glue-mnli,glue-stsb,0.5503355704697986,0.115625,0.0,0.0,0.09025270758122744,0.0,0.7858328683968663
glue-cola,glue-mrpc,glue-qqp,0.3595397890699904,0.0,0.3137254901960784,0.57625,0.0,0.0,
glue-cola,glue-mrpc,glue-rte,0.5378715244487057,0.0,0.24754901960784315,0.0,0.1299638989169675,0.0,
glue-cola,glue-mrpc,glue-sst2,0.40364333652924256,0.0,0.4387254901960784,0.0,0.0,0.7408256880733946,
glue-cola,glue-mrpc,glue-stsb,0.3000958772770853,0.0,0.4730392156862745,0.0,0.0,0.0,0.6494332155329205
glue-cola,glue-qqp,glue-rte,0.46308724832214765,0.0,0.0,0.565,0.4296028880866426,0.0,
glue-cola,glue-qqp,glue-sst2,0.34419942473633747,0.0,0.0,0.653125,0.0,0.8279816513761468,
glue-cola,glue-qqp,glue-stsb,0.26558005752636626,0.0,0.0,0.319375,0.0,0.0,0.7295587154120566
glue-cola,glue-rte,glue-sst2,0.5781399808245445,0.0,0.0,0.0,0.5270758122743683,0.8669724770642202,
glue-cola,glue-rte,glue-stsb,0.4506232023010546,0.01375,0.0,0.0,0.1552346570397112,0.0,0.7513797228545902
glue-cola,glue-sst2,glue-stsb,0.5618408437200384,0.0,0.0,0.0,0.0,0.6376146788990825,0.805280793797038
glue-mnli,glue-mrpc,glue-qqp,0.0,0.315,0.14705882352941177,0.206875,0.021660649819494584,0.0034403669724770644,
glue-mnli,glue-mrpc,glue-rte,0.0,0.533125,0.36764705882352944,0.0,0.36462093862815886,0.0,
glue-mnli,glue-mrpc,glue-sst2,0.0,0.395,0.7083333333333334,0.0,0.06859205776173286,0.43577981651376146,
glue-mnli,glue-mrpc,glue-stsb,0.0,0.30625,0.25,0.0,0.20577617328519857,0.0,0.6547155433291146
glue-mnli,glue-qqp,glue-rte,0.0,0.61875,0.0,0.631875,0.5595667870036101,0.0,
glue-mnli,glue-qqp,glue-sst2,0.0,0.421875,0.0,0.803125,0.0036101083032490976,0.661697247706422,
glue-mnli,glue-qqp,glue-stsb,0.0,0.31875,0.0,0.4825,0.20577617328519857,0.0,0.6293069411494504
glue-mnli,glue-rte,glue-sst2,0.0,0.43875,0.0,0.0,0.5270758122743683,0.8509174311926605,
glue-mnli,glue-rte,glue-stsb,0.0,0.32125,0.0,0.0,0.5090252707581228,0.0,0.38555572197650473
glue-mnli,glue-sst2,glue-stsb,0.0,0.24,0.0,0.0,0.07942238267148015,0.7385321100917431,0.7635214374101205
glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.041666666666666664,0.154375,0.24548736462093862,0.0,
glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.3088235294117647,0.61625,0.0,0.8371559633027523,
glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.2769607843137255,0.5825,0.0,0.0,0.5926858100194596
glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.22058823529411764,0.0,0.09025270758122744,0.8211009174311926,
glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.2818627450980392,0.0,0.0,0.0,0.6898882117983678
glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.5220588235294118,0.0,0.0,0.7706422018348624,0.6321246933122747
glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.635,0.47653429602888087,0.8761467889908257,
glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.6125,0.1299638989169675,0.0,0.7761485572650321
glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.523125,0.0,0.8348623853211009,0.7985854840727694
glue-rte,glue-sst2,glue-stsb,0.0,0.126875,0.0,0.0,0.24187725631768953,0.7729357798165137,0.4973729741197609
