dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.15819750719079578,0.184375,0.10049019607843138,0.36125,0.0,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-rte,0.27612655800575264,0.340625,0.3700980392156863,0.0,0.18772563176895307,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.06999041227229147,0.313125,0.5367647058823529,0.0,0.07942238267148015,0.022935779816513763,
glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.039309683604985615,0.2275,0.571078431372549,0.0,0.05054151624548736,0.0,0.6017179859572857
glue-cola,glue-mnli,glue-qqp,glue-rte,0.2080536912751678,0.275625,0.0,0.543125,0.18411552346570398,0.0,
glue-cola,glue-mnli,glue-qqp,glue-sst2,0.031639501438159155,0.340625,0.0,0.503125,0.0,0.1811926605504587,
glue-cola,glue-mnli,glue-qqp,glue-stsb,0.023969319271332695,0.085,0.0,0.00625,0.0,0.0,0.7069323181167289
glue-cola,glue-mnli,glue-rte,glue-sst2,0.4477468839884947,0.328125,0.0,0.0,0.5270758122743683,0.7534403669724771,
glue-cola,glue-mnli,glue-rte,glue-stsb,0.48801534036433364,0.31625,0.0,0.0,0.49097472924187724,0.0,0.45408480045339894
glue-cola,glue-mnli,glue-sst2,glue-stsb,0.39884947267497606,0.08375,0.0,0.0,0.0,0.2889908256880734,0.7640197357888145
glue-cola,glue-mrpc,glue-qqp,glue-rte,0.27708533077660596,0.0,0.23039215686274508,0.2225,0.0,0.0,
glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.12847555129434324,0.0,0.23529411764705882,0.59125,0.0,0.7488532110091743,
glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.019175455417066157,0.0,0.041666666666666664,0.308125,0.0,0.0,0.29938694625919926
glue-cola,glue-mrpc,glue-rte,glue-sst2,0.0488974113135187,0.0,0.25,0.0,0.0,0.658256880733945,
glue-cola,glue-mrpc,glue-rte,glue-stsb,0.05465004793863854,0.0,0.14460784313725492,0.0,0.061371841155234655,0.0,0.5479730534422248
glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.059443911792905084,0.0,0.38235294117647056,0.0,0.0,0.49655963302752293,0.5539800998178044
glue-cola,glue-qqp,glue-rte,glue-sst2,0.08820709491850431,0.0,0.0,0.255625,0.30324909747292417,0.8176605504587156,
glue-cola,glue-qqp,glue-rte,glue-stsb,0.05656759348034516,0.0,0.0,0.056875,0.018050541516245487,0.0,0.545902213615534
glue-cola,glue-qqp,glue-sst2,glue-stsb,0.06903163950143816,0.0,0.0,0.101875,0.0,0.6869266055045872,0.6359032013588548
glue-cola,glue-rte,glue-sst2,glue-stsb,0.29913710450623204,0.144375,0.0,0.0,0.259927797833935,0.4954128440366973,0.5390379022560597
glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.424375,0.04411764705882353,0.03625,0.05776173285198556,0.0,
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.30375,0.00980392156862745,0.28625,0.0,0.37270642201834864,
glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.10375,0.02696078431372549,0.060625,0.1371841155234657,0.0,0.6505511242507069
glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.390625,0.4117647058823529,0.0,0.34657039711191334,0.5126146788990825,
glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.28875,0.16911764705882354,0.0,0.44765342960288806,0.0,0.5629137540787117
glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.20625,0.39705882352941174,0.0,0.018050541516245487,0.2305045871559633,0.6698998271212068
glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.33375,0.0,0.63625,0.30324909747292417,0.7706422018348624,
glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.32375,0.0,0.485,0.48736462093862815,0.0,0.18911011897477747
glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.159375,0.0,0.20125,0.0,0.29128440366972475,0.7039463031436173
glue-mnli,glue-rte,glue-sst2,glue-stsb,0.0,0.245625,0.0,0.0,0.4007220216606498,0.0,0.4826971577323282
glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.10294117647058823,0.098125,0.0,0.6158256880733946,
glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.11029411764705882,0.503125,0.0,0.0,0.54376397194962
glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.007352941176470588,0.5225,0.0,0.5424311926605505,0.46559324521934775
glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.1568627450980392,0.0,0.039711191335740074,0.5206422018348624,0.5715675439382714
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.48125,0.0036101083032490976,0.6995412844036697,0.6766927520790623
