dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.14189837008628955,0.240625,0.09313725490196079,0.275625,0.0036101083032490976,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.01725790987535954,0.2875,0.0196078431372549,0.355625,0.0,0.034403669724770644,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.015340364333652923,0.018125,0.007352941176470588,0.093125,0.01444043321299639,0.0,0.5587428995025469
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.06999041227229147,0.345625,0.2426470588235294,0.0,0.2996389891696751,0.15481651376146788,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.06615532118887824,0.355,0.0784313725490196,0.0,0.4151624548736462,0.0,0.606857648297057
glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0009587727708533077,0.19875,0.3946078431372549,0.0,0.0,0.05389908256880734,0.6951921328953585
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.12080536912751678,0.31375,0.0,0.554375,0.16606498194945848,0.5573394495412844,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.08245445829338446,0.286875,0.0,0.421875,0.3935018050541516,0.0,0.4538933841932886
glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.005752636625119847,0.1175,0.0,0.089375,0.0,0.13188073394495411,0.6370977852204996
glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.3969319271332694,0.4075,0.0,0.0,0.38267148014440433,0.06651376146788991,0.6616538966204737
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.05465004793863854,0.0,0.0024509803921568627,0.0,0.0,0.6146788990825688,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0019175455417066154,0.0,0.2965686274509804,0.0,0.0,0.0,0.5167131447807225
glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.006711409395973154,0.0,0.029411764705882353,0.001875,0.0,0.04931192660550459,0.4902053058326905
glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0028763183125599234,0.0,0.056372549019607844,0.0,0.0,0.08027522935779817,0.6214607385940196
glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.016299137104506232,0.0,0.0,0.095,0.0,0.014908256880733946,0.6937608000823803
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.350625,0.03676470588235294,0.0075,0.04693140794223827,0.4426605504587156,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.264375,0.0857843137254902,0.000625,0.3574007220216607,0.0,0.482289492229517
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.074375,0.15931372549019607,0.02875,0.05776173285198556,0.020642201834862386,0.6301300259658397
glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.419375,0.09803921568627451,0.0,0.4368231046931408,0.0194954128440367,0.4949900354661192
glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.3675,0.0,0.521875,0.4332129963898917,0.0022935779816513763,0.47905255820381626
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.08823529411764706,0.345,0.0,0.0,0.5892441174844409
