dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,0.6893576222435283,0.0,0.0,0.0,0.0,0.0194954128440367,
glue-cola,glue-mrpc,0.6893576222435283,0.0,0.0,0.0,0.0,0.0011467889908256881,
glue-cola,glue-qqp,0.6874400767018217,0.0,0.0,0.0,0.0,0.011467889908256881,
glue-cola,glue-rte,0.6807286673058485,0.0,0.0,0.0,0.0,0.0011467889908256881,
glue-cola,glue-sst2,0.41802492809204217,0.0,0.0,0.0,0.0,0.9059633027522935,
glue-cola,glue-stsb,0.6893576222435283,0.0,0.0,0.0,0.0,0.009174311926605505,
glue-mnli,glue-mrpc,0.0,0.210625,0.2647058823529412,0.0,0.1588447653429603,0.008027522935779817,
glue-mnli,glue-qqp,0.0,0.115625,0.0,0.2075,0.0,0.0,
glue-mnli,glue-rte,0.0,0.255625,0.0,0.0,0.5451263537906137,0.0,
glue-mnli,glue-sst2,0.0,0.000625,0.0,0.0,0.0,0.9208715596330275,
glue-mnli,glue-stsb,0.0,0.308125,0.0,0.0,0.4693140794223827,0.0,0.37561629304522576
glue-mrpc,glue-qqp,0.0,0.0,0.30637254901960786,0.610625,0.0,0.0,
glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.5992779783393501,0.0,
glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9231651376146789,
glue-mrpc,glue-stsb,0.0,0.0,0.45588235294117646,0.0,0.0,0.0,0.6052166248256866
glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.7220216606498195,0.0,
glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9208715596330275,
glue-qqp,glue-stsb,0.0,0.0,0.0,0.154375,0.0,0.0,0.10561687511963543
glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9208715596330275,
glue-rte,glue-stsb,0.0,0.005625,0.0,0.0,0.5451263537906137,0.0,
glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.9185779816513762,
