dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,0.6807286673058485,0.0,0.0,0.0,0.0,0.04243119266055046,
glue-cola,glue-mnli,glue-qqp,0.675934803451582,0.0,0.0,0.0,0.0,0.03211009174311927,
glue-cola,glue-mnli,glue-rte,0.6596356663470757,0.0,0.0,0.0,0.039711191335740074,0.0011467889908256881,
glue-cola,glue-mnli,glue-sst2,0.4276126558005753,0.0,0.0,0.0,0.0,0.9025229357798165,
glue-cola,glue-mnli,glue-stsb,0.6788111217641419,0.0,0.0,0.0,0.0,0.017201834862385322,
glue-cola,glue-mrpc,glue-qqp,0.673058485139022,0.0,0.0,0.0,0.0,0.005733944954128441,
glue-cola,glue-mrpc,glue-rte,0.6510067114093959,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-sst2,0.5167785234899329,0.0,0.0,0.0,0.0,0.8979357798165137,
glue-cola,glue-mrpc,glue-stsb,0.6768935762224353,0.0,0.0,0.0,0.0,0.010321100917431193,
glue-cola,glue-qqp,glue-rte,0.6366251198465963,0.0,0.0,0.0,0.0,0.0011467889908256881,
glue-cola,glue-qqp,glue-sst2,0.42953020134228187,0.0,0.0,0.0,0.0,0.8910550458715596,
glue-cola,glue-qqp,glue-stsb,0.6663470757430489,0.0,0.0,0.0,0.0,0.01261467889908257,
glue-cola,glue-rte,glue-sst2,0.49856184084372,0.0,0.0,0.0,0.0,0.8922018348623854,
glue-cola,glue-rte,glue-stsb,0.6529242569511026,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-sst2,glue-stsb,0.44966442953020136,0.0,0.0,0.0,0.0,0.8990825688073395,
glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0024509803921568627,0.01375,0.0,0.0,
glue-mnli,glue-mrpc,glue-rte,0.0,0.005,0.0,0.0,0.7653429602888087,0.0,
glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9208715596330275,
glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.011958821380889932
glue-mnli,glue-qqp,glue-rte,0.0,0.008125,0.0,0.0,0.6787003610108303,0.0,
glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9174311926605505,
glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9048165137614679,
glue-mnli,glue-rte,glue-stsb,0.0,0.125625,0.0,0.0,0.5270758122743683,0.0,
glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.9197247706422018,
glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.45126353790613716,0.0,
glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9197247706422018,
glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.004901960784313725,0.00125,0.0,0.0,
glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.9151376146788991,
glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.3935018050541516,0.0,
glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.9231651376146789,
glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.875,
glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.23104693140794225,0.0,
glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.9162844036697247,
glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.8876146788990825,
