dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.5877277085330777,0.0,0.0,0.0,0.0,0.01261467889908257,
glue-cola,glue-mnli,glue-mrpc,glue-rte,0.50143815915628,0.0,0.0,0.0,0.0036101083032490976,0.0011467889908256881,
glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.47555129434324067,0.0,0.0,0.0,0.0,0.8967889908256881,
glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.6251198465963567,0.0,0.0,0.0,0.0,0.009174311926605505,
glue-cola,glue-mnli,glue-qqp,glue-rte,0.4046021093000959,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-qqp,glue-sst2,0.37583892617449666,0.0,0.0,0.0,0.0,0.893348623853211,
glue-cola,glue-mnli,glue-qqp,glue-stsb,0.5436241610738255,0.0,0.0,0.0,0.0,0.0022935779816513763,
glue-cola,glue-mnli,glue-rte,glue-sst2,0.4429530201342282,0.0,0.0,0.0,0.0,0.8795871559633027,
glue-cola,glue-mnli,glue-rte,glue-stsb,0.45445829338446786,0.0,0.0,0.0,0.05776173285198556,0.0,
glue-cola,glue-mnli,glue-sst2,glue-stsb,0.39022051773729627,0.0,0.0,0.0,0.0,0.9025229357798165,
glue-cola,glue-mrpc,glue-qqp,glue-rte,0.3700862895493768,0.0,0.0,0.0,0.0,0.0011467889908256881,
glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.4841802492809204,0.0,0.0,0.0,0.0,0.8887614678899083,
glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.5311601150527325,0.0,0.0,0.0,0.0,0.0034403669724770644,
glue-cola,glue-mrpc,glue-rte,glue-sst2,0.49089165867689355,0.0,0.0,0.0,0.0,0.8772935779816514,
glue-cola,glue-mrpc,glue-rte,glue-stsb,0.439117929050815,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.49760306807286675,0.0,0.0,0.0,0.0,0.8922018348623854,
glue-cola,glue-qqp,glue-rte,glue-sst2,0.4247363374880153,0.0,0.0,0.0,0.0,0.8589449541284404,
glue-cola,glue-qqp,glue-rte,glue-stsb,0.31351869606903165,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-qqp,glue-sst2,glue-stsb,0.3959731543624161,0.0,0.0,0.0,0.0,0.8887614678899083,
glue-cola,glue-rte,glue-sst2,glue-stsb,0.43815915627996166,0.0,0.0,0.0,0.0,0.8646788990825688,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.4620938628158845,0.0,
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.8944954128440367,
glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.8348623853211009,
glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.000625,0.0,0.0,0.48736462093862815,0.0,
glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.9139908256880734,
glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.6456422018348624,
glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.49458483754512633,0.0,
glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.8348623853211009,
glue-mnli,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0036101083032490976,0.6215596330275229,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.7006880733944955,
glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.04332129963898917,0.0,
glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.8864678899082569,
glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.7740825688073395,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.5756880733944955,
