dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.16395014381591563,0.0,0.0,0.0,0.0,0.0011467889908256881,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.3566634707574305,0.0,0.0,0.0,0.0,0.8692660550458715,
glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.2588686481303931,0.0,0.0,0.0,0.0,0.0022935779816513763,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.348993288590604,0.0,0.0,0.0,0.0,0.8061926605504587,
glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.20325982742090123,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.3796740172579099,0.0,0.0,0.0,0.0,0.8910550458715596,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.25407478427612656,0.0,0.0,0.0,0.0,0.7144495412844036,
glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0987535953978907,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.25311601150527324,0.0,0.0,0.0,0.0,0.8474770642201835,
glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.2751677852348993,0.0,0.0,0.0,0.0,0.7339449541284404,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.27325023969319273,0.0,0.0,0.0,0.0,0.7270642201834863,
glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.09204218600191755,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.3374880153403643,0.0,0.0,0.0,0.0,0.8612385321100917,
glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.30105465004793863,0.0,0.0,0.0,0.0,0.7763761467889908,
glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.21476510067114093,0.0,0.0,0.0,0.0,0.6811926605504587,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.4724770642201835,
glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.1263537906137184,0.0,
glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.7075688073394495,
glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.5114678899082569,
glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.2775229357798165,
glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.40940366972477066,
