scaling_factor,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.35000000000000003,glue-cola,glue-mnli,0.003835091083413231,0.0,0.0,0.0,0.0,0.0,
0.4,glue-cola,glue-mnli,0.25023969319271333,0.0,0.0,0.0,0.0,0.0,
0.45,glue-cola,glue-mnli,0.638542665388303,0.005,0.0,0.0,0.0,0.009174311926605505,
0.5,glue-cola,glue-mnli,0.6826462128475551,0.069375,0.0,0.0,0.0,0.05619266055045872,
0.55,glue-cola,glue-mnli,0.6903163950143816,0.31625,0.0,0.0,0.06859205776173286,0.05619266055045872,
0.6000000000000001,glue-cola,glue-mnli,0.6922339405560882,0.4875,0.0,0.0,0.07581227436823104,0.01261467889908257,
0.65,glue-cola,glue-mnli,0.6845637583892618,0.505625,0.0,0.0,0.039711191335740074,0.0,
0.7000000000000001,glue-cola,glue-mnli,0.6701821668264621,0.483125,0.0,0.0,0.021660649819494584,0.0,
0.75,glue-cola,glue-mnli,0.6567593480345159,0.48375,0.0,0.0,0.007220216606498195,0.0,
0.8,glue-cola,glue-mnli,0.6529242569511026,0.469375,0.0,0.0,0.0036101083032490976,0.0,
0.8500000000000001,glue-cola,glue-mnli,0.6433365292425696,0.443125,0.0,0.0,0.0036101083032490976,0.0,
0.9,glue-cola,glue-mnli,0.6289549376797698,0.4375,0.0,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-mnli,0.6116970278044104,0.4425,0.0,0.0,0.0,0.0,
1.0,glue-cola,glue-mnli,0.5953978906999041,0.459375,0.0,0.0,0.0,0.0,
0.0,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.35000000000000003,glue-cola,glue-mrpc,0.02588686481303931,0.0,0.0,0.0,0.0,0.0,
0.4,glue-cola,glue-mrpc,0.29050814956855225,0.0,0.0,0.0,0.0,0.0034403669724770644,
0.45,glue-cola,glue-mrpc,0.6251198465963567,0.0,0.0,0.0,0.0,0.005733944954128441,
0.5,glue-cola,glue-mrpc,0.6692233940556088,0.0,0.007352941176470588,0.0,0.0,0.0022935779816513763,
0.55,glue-cola,glue-mrpc,0.6577181208053692,0.0,0.00980392156862745,0.0,0.0,0.0,
0.6000000000000001,glue-cola,glue-mrpc,0.6337488015340365,0.0,0.004901960784313725,0.0,0.0,0.0,
0.65,glue-cola,glue-mrpc,0.5522531160115053,0.0,0.004901960784313725,0.0,0.0,0.0,
0.7000000000000001,glue-cola,glue-mrpc,0.5465004793863855,0.0,0.004901960784313725,0.0,0.0,0.0,
0.75,glue-cola,glue-mrpc,0.5608820709491851,0.0,0.012254901960784314,0.0,0.0,0.0,
0.8,glue-cola,glue-mrpc,0.5771812080536913,0.0,0.029411764705882353,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mrpc,0.6059443911792906,0.0,0.05392156862745098,0.0,0.0,0.0,
0.9,glue-cola,glue-mrpc,0.62607861936721,0.0,0.0857843137254902,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-mrpc,0.62320230105465,0.0,0.14215686274509803,0.0,0.0,0.0,
1.0,glue-cola,glue-mrpc,0.6299137104506232,0.0,0.20098039215686275,0.0,0.0,0.0,
0.0,glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.35000000000000003,glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,glue-cola,glue-qqp,0.06423777564717162,0.0,0.0,0.0,0.0,0.0,
0.45,glue-cola,glue-qqp,0.40939597315436244,0.0,0.0,0.0,0.0,0.0011467889908256881,
0.5,glue-cola,glue-qqp,0.6500479386385427,0.0,0.0,0.0,0.0,0.005733944954128441,
0.55,glue-cola,glue-qqp,0.6615532118887824,0.0,0.0,0.049375,0.0,0.005733944954128441,
0.6000000000000001,glue-cola,glue-qqp,0.5781399808245445,0.0,0.0,0.4,0.0,0.0022935779816513763,
0.65,glue-cola,glue-qqp,0.4448705656759348,0.0,0.0,0.521875,0.0,0.0,
0.7000000000000001,glue-cola,glue-qqp,0.36720997123681687,0.0,0.0,0.53875,0.0,0.0,
0.75,glue-cola,glue-qqp,0.3422818791946309,0.0,0.0,0.528125,0.0,0.0,
0.8,glue-cola,glue-qqp,0.3432406519654842,0.0,0.0,0.53625,0.0,0.0,
0.8500000000000001,glue-cola,glue-qqp,0.3432406519654842,0.0,0.0,0.545,0.0,0.0,
0.9,glue-cola,glue-qqp,0.3595397890699904,0.0,0.0,0.554375,0.0,0.0,
0.9500000000000001,glue-cola,glue-qqp,0.4055608820709492,0.0,0.0,0.55,0.0,0.0,
1.0,glue-cola,glue-qqp,0.4554170661553212,0.0,0.0,0.54625,0.0,0.0,
0.0,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.35000000000000003,glue-cola,glue-rte,0.003835091083413231,0.0,0.0,0.0,0.0,0.0,
0.4,glue-cola,glue-rte,0.1955896452540748,0.0,0.0,0.0,0.0,0.0,
0.45,glue-cola,glue-rte,0.5714285714285714,0.0,0.0,0.0,0.0036101083032490976,0.0,
0.5,glue-cola,glue-rte,0.663470757430489,0.0,0.0,0.0,0.10108303249097472,0.0,
0.55,glue-cola,glue-rte,0.673058485139022,0.0,0.0,0.0,0.20938628158844766,0.0,
0.6000000000000001,glue-cola,glue-rte,0.6807286673058485,0.0,0.0,0.0,0.1624548736462094,0.0,
0.65,glue-cola,glue-rte,0.675934803451582,0.0,0.0,0.0,0.05776173285198556,0.0,
0.7000000000000001,glue-cola,glue-rte,0.660594439117929,0.0,0.0,0.0,0.007220216606498195,0.0,
0.75,glue-cola,glue-rte,0.585810162991371,0.0,0.0,0.0,0.0,0.0,
0.8,glue-cola,glue-rte,0.5186960690316395,0.0,0.0,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-rte,0.4707574304889741,0.0,0.0,0.0,0.0,0.0,
0.9,glue-cola,glue-rte,0.439117929050815,0.0,0.0,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-rte,0.41227229146692235,0.0,0.0,0.0,0.0,0.0,
1.0,glue-cola,glue-rte,0.39022051773729627,0.0,0.0,0.0,0.0,0.0,
0.0,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
