scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.03451581975071908,0.0,0.0,0.0,0.0,0.0011467889908256881,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.4563758389261745,0.0,0.0,0.0,0.0,0.05963302752293578,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.3691275167785235,0.049375,0.024509803921568627,0.08125,0.0,0.0034403669724770644,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.2981783317353787,0.06375,0.12990196078431374,0.469375,0.0,0.0,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.30393096836049854,0.036875,0.21568627450980393,0.56375,0.0,0.0,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.29338446788111217,0.00875,0.2647058823529412,0.560625,0.0,0.0,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.23106423777564716,0.00125,0.22549019607843138,0.3,0.0,0.0,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.08533077660594439,0.0,0.17892156862745098,0.014375,0.0,0.0,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.007670182166826462,0.0,0.15196078431372548,0.0,0.0,0.0,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
