scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0045871559633027525,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.15819750719079578,0.0,0.0,0.0,0.0,0.6479357798165137,
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.22051773729626079,0.02875,0.0,0.0,0.01444043321299639,0.5481651376146789,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.12943432406519656,0.040625,0.0,0.0,0.3140794223826715,0.0860091743119266,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.07574304889741132,0.005,0.0,0.0,0.4368231046931408,0.020642201834862386,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.052732502396931925,0.0,0.0,0.0,0.45126353790613716,0.0022935779816513763,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.02205177372962608,0.0,0.0,0.0,0.44765342960288806,0.0,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.006711409395973154,0.0,0.0,0.0,0.1588447653429603,0.0,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.011505273250239693,0.0,0.0,0.0,0.04693140794223827,0.0,
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0019175455417066154,0.049375,0.0024509803921568627,0.0,0.34296028880866425,0.0,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.1175,0.004901960784313725,0.0,0.36823104693140796,0.0,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.05,0.0,0.0,0.44765342960288806,0.0,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0075,0.0,0.0,0.45126353790613716,0.0,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.4584837545126354,0.0,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.3971119133574007,0.0,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
