scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0364333652924257,0.0,0.0,0.0,0.0,0.0011467889908256881,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0987535953978907,0.021875,0.3014705882352941,0.27875,0.0,0.0045871559633027525,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.019175455417066157,0.0,0.0,0.0,0.0,0.0011467889908256881,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.10834132310642378,0.03625,0.2549019607843137,0.309375,0.0,0.01261467889908257,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.12655800575263662,0.0125,0.0857843137254902,0.1975,0.0,0.02981651376146789,
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.11313518696069032,0.0,0.0,0.0,0.07942238267148015,0.0011467889908256881,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.23873441994247363,0.28875,0.03431372549019608,0.0,0.6714801444043321,0.0,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
