scaling_factor,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.75,glue-cola,glue-mnli,glue-mrpc,0.6740172579098753,0.650625,0.6397058823529411,0.0,0.0,0.0,,0.2806211628946881
0.65,glue-cola,glue-mnli,glue-qqp,0.7142857142857143,0.730625,0.0,0.804375,0.1407942238267148,0.0,,0.3414399911589184
0.75,glue-cola,glue-mnli,glue-rte,0.6912751677852349,0.79,0.0,0.0,0.6534296028880866,0.0,,0.3049578243819031
0.55,glue-cola,glue-mnli,glue-sst2,0.7018216682646213,0.64125,0.0,0.0,0.2093862815884476,0.9002293577981652,,0.3503839010930334
0.75,glue-cola,glue-mnli,glue-stsb,0.62320230105465,0.368125,0.0,0.0,0.0,0.0,0.8609699530267874,0.2646138934402053
0.6000000000000001,glue-cola,glue-mrpc,glue-qqp,0.6481303930968361,0.0,0.6838235294117647,0.56125,0.0,0.0,,0.2704577032155144
0.4,glue-cola,glue-mrpc,glue-rte,0.6069031639501438,0.0,0.4215686274509804,0.0,0.3646209386281588,0.0,,0.19901324714704044
0.3,glue-cola,glue-mrpc,glue-sst2,0.6807286673058485,0.0,0.0122549019607843,0.0,0.0,0.8405963302752294,,0.2190828427916946
0.5,glue-cola,glue-mrpc,glue-stsb,0.6701821668264621,0.0,0.7107843137254902,0.0,0.0,0.0,0.7466640105057023,0.3039472130082364
0.45,glue-cola,glue-qqp,glue-rte,0.6673058485139022,0.0,0.0,0.65875,0.6931407942238267,0.0,,0.288456663248247
0.55,glue-cola,glue-qqp,glue-sst2,0.7027804410354745,0.0,0.0,0.798125,0.0,0.8555045871559633,,0.3366300040273483
0.6000000000000001,glue-cola,glue-qqp,glue-stsb,0.6931927133269415,0.0,0.0,0.609375,0.0,0.0,0.862706528909162,0.30932489174801475
0.55,glue-cola,glue-rte,glue-sst2,0.7037392138063279,0.0,0.0,0.0,0.6245487364620939,0.6731651376146789,,0.28592186969758576
0.8500000000000001,glue-cola,glue-rte,glue-stsb,0.6490891658676894,0.0,0.0,0.0,0.2093862815884476,0.0,0.823661558017176,0.24030528649618757
0.5,glue-cola,glue-sst2,glue-stsb,0.7037392138063279,0.0,0.0,0.0,0.0,0.8738532110091743,0.8312785337275819,0.34412442264901205
0.9,glue-mnli,glue-mrpc,glue-qqp,0.0,0.13125,0.6936274509803921,0.57625,0.0,0.0,,0.2001610644257703
0.35,glue-mnli,glue-mrpc,glue-rte,0.0,0.32125,0.1470588235294117,0.0,0.7942238267148014,0.0,,0.18036180717774472
0.5,glue-mnli,glue-mrpc,glue-sst2,0.0,0.60875,0.5808823529411765,0.0,0.1696750902527075,0.893348623853211,,0.3218080095781564
0.75,glue-mnli,glue-mrpc,glue-stsb,0.0,0.338125,0.1274509803921568,0.0,0.0,0.0,0.8276641183383033,0.1847485855329229
0.45,glue-mnli,glue-qqp,glue-rte,0.0,0.399375,0.0,0.631875,0.8447653429602888,0.0,,0.26800219185146984
0.65,glue-mnli,glue-qqp,glue-sst2,0.0,0.73375,0.0,0.85375,0.335740072202166,0.9208715596330276,,0.4063016616907419
0.8500000000000001,glue-mnli,glue-qqp,glue-stsb,0.0,0.43,0.0,0.519375,0.0,0.0,0.8719658134404179,0.2601915447772026
0.65,glue-mnli,glue-rte,glue-sst2,0.0,0.7575,0.0,0.0,0.5415162454873647,0.8268348623853211,,0.3036930154103837
0.8,glue-mnli,glue-rte,glue-stsb,0.0,0.660625,0.0,0.0,0.5342960288808665,0.0,-0.0250519025565571,0.16712416090347276
0.55,glue-mnli,glue-sst2,glue-stsb,0.0,0.503125,0.0,0.0,0.0,0.819954128440367,0.8509008825298879,0.31056857299575075
1.0,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.4068627450980392,0.659375,0.0,0.0,,0.15231967787114847
0.55,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.6299019607843137,0.593125,0.0,0.7660550458715596,,0.2841545723794105
0.5,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.7598039215686274,0.303125,0.0,0.0,0.6025531695333155,0.2379260130145633
0.4,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.3529411764705882,0.0,0.2671480144404332,0.8107798165137615,,0.20440985820354043
0.35,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.2426470588235294,0.0,0.2815884476534296,0.0,0.7298175867230807,0.17915044188571996
0.6000000000000001,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.8357843137254902,0.0,0.0,0.893348623853211,0.8213785795360956,0.3643587881592567
0.5,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.66,0.7364620938628159,0.9105504587155964,,0.329573221796916
0.4,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.586875,0.3935018050541516,0.0,0.7541546143237637,0.24779020276827365
1.0,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.749375,0.0,0.9139908256880734,0.8374512811123298,0.3572595866857719
0.75,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0722021660649819,0.3967889908256881,0.8495394793986653,0.18836151946990504
