scaling_factor,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.75,glue-cola,glue-mnli,glue-mrpc,0.8955414012738853,0.7894528835455557,0.7457142857142857,0.0,0.0,0.0,0.0,0.34724408150481806
0.65,glue-cola,glue-mnli,glue-qqp,0.9490445859872612,0.8865229787365557,0.0,0.9620708590953465,0.1652542372881356,0.0,0.0,0.4232703801581855
0.75,glue-cola,glue-mnli,glue-rte,0.9184713375796177,0.9585671900111262,0.0,0.0,0.7669491525423728,0.0,0.0,0.37771252573330244
0.55,glue-cola,glue-mnli,glue-sst2,0.932484076433121,0.7780774817653603,0.0,0.0,0.2457627118644067,0.9643734643734645,0.0,0.4172425334909075
0.75,glue-cola,glue-mnli,glue-stsb,0.8280254777070063,0.44667410990233647,0.0,0.0,0.0,0.0,0.9517847127224954,0.3180691857616912
0.6000000000000001,glue-cola,glue-mrpc,glue-qqp,0.8611464968152867,0.0,0.7971428571428572,0.6712817649321067,0.0,0.0,0.0,0.33279587412717865
0.4,glue-cola,glue-mrpc,glue-rte,0.8063694267515923,0.0,0.49142857142857144,0.0,0.4279661016949152,0.0,0.0,0.24653772855358272
0.3,glue-cola,glue-mrpc,glue-sst2,0.9044585987261146,0.0,0.01428571428571427,0.0,0.0,0.9004914004914006,0.0,0.259890816214747
0.5,glue-cola,glue-mrpc,glue-stsb,0.8904458598726115,0.0,0.8285714285714286,0.0,0.0,0.0,0.8254218259778054,0.3634913020602637
0.45,glue-cola,glue-qqp,glue-rte,0.886624203821656,0.0,0.0,0.7878964145194213,0.8135593220338982,0.0,0.0,0.3554399914821394
0.55,glue-cola,glue-qqp,glue-sst2,0.9337579617834394,0.0,0.0,0.9545955610448776,0.0,0.9164619164619165,0.0,0.4006879198986048
0.6000000000000001,glue-cola,glue-qqp,glue-stsb,0.9210191082802548,0.0,0.0,0.7288415599207171,0.0,0.0,0.9537044619210779,0.3719378757317214
0.55,glue-cola,glue-rte,glue-sst2,0.9350318471337579,0.0,0.0,0.0,0.733050847457627,0.7211302211302212,0.0,0.34131613081737233
0.8500000000000001,glue-cola,glue-rte,glue-stsb,0.8624203821656051,0.0,0.0,0.0,0.2457627118644067,0.0,0.910541043414961,0.288389162492139
0.5,glue-cola,glue-sst2,glue-stsb,0.9350318471337579,0.0,0.0,0.0,0.0,0.9361179361179363,0.9189614546184601,0.3985873196957363
0.9,glue-mnli,glue-mrpc,glue-qqp,0.0,0.1592556249227346,0.8085714285714286,0.689222480253232,0.0,0.0,0.0,0.2367213619639136
0.35,glue-mnli,glue-mrpc,glue-rte,0.0,0.38979710100135984,0.17142857142857135,0.0,0.9322033898305084,0.0,0.0,0.21334700889434852
0.55,glue-mnli,glue-mrpc,glue-sst2,0.0,0.7750440412906416,0.6885714285714286,0.0,0.17372881355932202,0.934889434889435,0.0,0.3674619597586896
0.75,glue-mnli,glue-mrpc,glue-stsb,0.0,0.4102728242057115,0.1485714285714285,0.0,0.0,0.0,0.9149657921672326,0.21054429213491035
0.45,glue-mnli,glue-qqp,glue-rte,0.0,0.4845921158363209,0.0,0.755752632902405,0.9915254237288136,0.0,0.0,0.3188385960667914
0.65,glue-mnli,glue-qqp,glue-sst2,0.0,0.8903147793299543,0.0,1.0211257136940508,0.39406779661016944,0.9864864864864866,0.0,0.4702849680172373
0.8500000000000001,glue-mnli,glue-qqp,glue-stsb,0.0,0.5217517616516256,0.0,0.621197267993965,0.0,0.0,0.9639404120104106,0.30098420595085734
0.65,glue-mnli,glue-rte,glue-sst2,0.0,0.9191324638397823,0.0,0.0,0.6355932203389831,0.8857493857493859,0.0,0.34863929570402163
0.8,glue-mnli,glue-rte,glue-stsb,0.0,0.8015866454444307,0.0,0.0,0.6271186440677966,0.0,-0.027694367026537558,0.2001444174979557
0.55,glue-mnli,glue-sst2,glue-stsb,0.0,0.6104798955371492,0.0,0.0,0.0,0.8783783783783785,0.9406535607739491,0.3470731192413538
1.0,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.4742857142857143,0.7886439443244683,0.0,0.0,0.0,0.1804185226585975
0.55,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.7342857142857143,0.709405784989498,0.0,0.8206388206388207,0.0,0.32347575998771905
0.5,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.8857142857142857,0.36255195544774127,0.0,0.0,0.6661102322422772,0.273482353343472
0.4,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.4114285714285714,0.0,0.31355932203389825,0.8685503685503687,0.0,0.22764832314469116
0.35,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.28285714285714286,0.0,0.3305084745762712,0.0,0.8067984482815515,0.20288058081642366
0.6000000000000001,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.9742857142857144,0.0,0.0,0.9570024570024571,0.9080172572942865,0.40561506122606544
0.5,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.7893914741295152,0.864406779661017,0.9754299754299756,0.0,0.37560403274578685
0.4,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.7019304869390292,0.461864406779661,0.0,0.8337025356332675,0.28535677562170825
1.0,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.8962882362512203,0.0,0.9791154791154792,0.9257853008812089,0.400169859463987
0.8,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.12288135593220335,0.3906633906633907,0.938657314612306,0.20745743731541427
