scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.5647171620325983,0.19375,0.6544117647058824,0.47125,0.0,0.0,,0.26916127524835437
0.3,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.585810162991371,0.291875,0.1617647058823529,0.0,0.8050541516245487,0.0011467889908256,,0.26366440135558544
0.45,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.6931927133269415,0.494375,0.0931372549019607,0.0,0.0324909747292418,0.694954128440367,,0.2868785816283587
0.8,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.439117929050815,0.254375,0.3774509803921568,0.0,0.0,0.0,0.7367726105340873,0.2582452171395799
0.4,glue-cola,glue-mnli,glue-qqp,glue-rte,0.6577181208053692,0.348125,0.0,0.60125,0.8411552346570397,0.0,,0.3497497650660584
0.45,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.6970278044103547,0.536875,0.0,0.415,0.1841155234657039,0.8990825688073395,,0.3903001280976283
0.65,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.4908916586768935,0.375625,0.0,0.52,0.0,0.0,0.8455181810344197,0.31886211995875907
0.45,glue-cola,glue-mnli,glue-rte,glue-sst2,0.6845637583892618,0.59375,0.0,0.0,0.5234657039711191,0.8314220183486238,,0.3761716401012864
0.8,glue-cola,glue-mnli,glue-rte,glue-stsb,0.3883029721955896,0.66375,0.0,0.0,0.5848375451263538,0.0,0.3829560349110922,0.2885495074618622
0.45,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.6030680728667306,0.313125,0.0,0.0,0.003610108303249,0.819954128440367,0.7802608025968456,0.3600025874581703
0.35,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.0738255033557047,0.0,0.3137254901960784,0.64375,0.0974729241877256,0.0,,0.16125341681992983
0.4,glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.6845637583892618,0.0,0.4534313725490196,0.4725,0.0,0.4839449541284403,,0.2992057264381031
0.35,glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.3173537871524449,0.0,0.6764705882352942,0.126875,0.0,0.0,0.6195916441758401,0.24861300279479703
0.3,glue-cola,glue-mrpc,glue-rte,glue-sst2,0.6481303930968361,0.0,0.2965686274509804,0.0,0.1010830324909747,0.6135321100917431,,0.23704488044721916
0.35,glue-cola,glue-mrpc,glue-rte,glue-stsb,0.1706615532118887,0.0,0.25,0.0,0.3140794223826715,0.0,0.6889229473279675,0.20338056041750394
0.35,glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.6663470757430489,0.0,0.0539215686274509,0.0,0.0,0.6857798165137615,0.6651659771479798,0.2958877768617487
0.45,glue-cola,glue-qqp,glue-rte,glue-sst2,0.6922339405560882,0.0,0.0,0.658125,0.6028880866425993,0.6857798165137615,,0.37700383481606414
0.4,glue-cola,glue-qqp,glue-rte,glue-stsb,0.3566634707574305,0.0,0.0,0.5625,0.371841155234657,0.0,0.7211820549773389,0.2874552401384895
