scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.7503184713375796,0.23509163679070344,0.7628571428571429,0.5636374730053546,0.0,0.0,0.0,0.3302721034272543
0.3,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.7783439490445859,0.3541541754234145,0.18857142857142853,0.0,0.9449152542372882,0.0012285012285011344,0.0,0.32388761550074546
0.45,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.9210191082802548,0.5998628538756335,0.10857142857142849,0.0,0.03813559322033889,0.7444717444717446,0.0,0.3445801040599144
0.75,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.5923566878980892,0.3314033718630239,0.39142857142857135,0.0,0.0,0.0,0.8314437060040943,0.30666176245625415
0.4,glue-cola,glue-mnli,glue-qqp,glue-rte,0.8738853503184714,0.4224065861045865,0.0,0.7191236724551074,0.9872881355932203,0.0,0.0,0.42895767778162647
0.45,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.9261146496815286,0.6514313419458524,0.0,0.4963597905511345,0.21610169491525413,0.9631449631449633,0.0,0.4647360628912475
0.65,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.6522292993630572,0.45577443132649276,0.0,0.6219447977990119,0.0,0.0,0.9347030941188418,0.38066451751534336
0.45,glue-cola,glue-mnli,glue-rte,glue-sst2,0.9095541401273886,0.720442112745704,0.0,0.0,0.614406779661017,0.8906633906633907,0.0,0.4478666318853572
0.8,glue-cola,glue-mnli,glue-rte,glue-stsb,0.5159235668789809,0.805378446037829,0.0,0.0,0.6864406779661016,0.0,0.42335008137253705,0.34729896746506406
0.45,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.8012738853503184,0.3799384194585239,0.0,0.0,0.004237288135593106,0.8783783783783785,0.8625623940039597,0.4180557664752534
