scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0421860019175455,0.166875,0.1666666666666666,0.573125,0.5884476534296029,0.0,,0.2196143317162593
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.6069031639501438,0.265,0.4485294117647059,0.413125,0.0072202166064981,0.6330275229357798,,0.3391150450367325
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0268456375838926,0.005,0.7843137254901961,0.09125,0.0,0.0,0.554094416321005,0.2087862541992991
0.3,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.6116970278044104,0.3325,0.1936274509803921,0.0,0.7978339350180506,0.7327981651376146,,0.38120808270578105
0.3,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.2099712368168744,0.311875,0.1323529411764706,0.0,0.6895306859205776,0.0,0.0621169145514733,0.2008352540664851
0.35,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.5206136145733461,0.21875,0.0,0.0,0.0108303249097472,0.7396788990825688,0.7211788261587447,0.31586452353205813
0.4,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.6404602109300096,0.46875,0.0,0.536875,0.8411552346570397,0.7993119266055045,,0.46950748174179335
0.45,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.1773729626078619,0.33,0.0,0.2,0.8194945848375451,0.0,,0.21812393534934385
0.55,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.448705656759348,0.346875,0.0,0.20875,0.0,0.6399082568807339,0.7896946799264253,0.3477047990809296
0.6000000000000001,glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.4151486097794822,0.615,0.0,0.0,0.5270758122743683,0.0905963302752293,0.3616268130956098,0.28706393791781276
0.3,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.2406519654841802,0.0,0.3161764705882353,0.5975,0.0685920577617328,0.3130733944954128,,0.21942769833279444
0.7000000000000001,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.678921568627451,0.595,0.003610108303249,0.0,0.4976654465690414,0.25359958907139163
0.35,glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.4832214765100671,0.0,0.4705882352941176,0.149375,0.0,0.5389908256880734,0.5973261754510003,0.3199288161347512
0.35,glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.3355704697986577,0.0,0.2524509803921568,0.0,0.1985559566787003,0.3073394495412844,0.668441444373057,0.2517654715405509
0.4,glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5081495685522531,0.0,0.0,0.51875,0.335740072202166,0.6089449541284404,0.6892367787180144,0.3801173390858391
0.3,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.203125,0.2426470588235294,0.563125,0.628158844765343,0.7075688073394495,,0.3349463872754746
0.35,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.246875,0.2107843137254902,0.483125,0.6678700361010831,0.0,,0.22980776426093905
0.35,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.18125,0.2279411764705882,0.158125,0.0541516245487364,0.8176605504587156,0.7150671416468697,0.30774221330355855
0.35,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.37875,0.1568627450980392,0.0,0.7364620938628159,0.3497706422018348,0.0344851555383007,0.2366186623858558
0.45,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.4375,0.0,0.27875,0.7364620938628159,0.393348623853211,,0.26372295967371817
0.35,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.3063725490196078,0.580625,0.1407942238267148,0.1399082568807339,0.6055064058664029,0.25331520508477995
