scaling_factor,k,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.9,0.5,glue-cola,glue-mnli,glue-mrpc,0.7123681687440077,0.63875,0.7818627450980392,0.0,0.1083032490974729,0.0,,0.3201834518485028
1.0,0.5,glue-cola,glue-mnli,glue-qqp,0.7267497603068073,0.728125,0.0,0.783125,0.3935018050541516,0.0,,0.3759287950515655
1.0,0.25,glue-cola,glue-mnli,glue-rte,0.7248322147651006,0.744375,0.0,0.0,0.51985559566787,0.0,,0.28415183006185296
0.9,1.0,glue-cola,glue-mnli,glue-sst2,0.6903163950143816,0.66375,0.0,0.0,0.3898916967509025,0.713302752293578,,0.35103726343698033
1.0,0.25,glue-cola,glue-mnli,glue-stsb,0.3557046979865771,0.2325,0.0,0.0,0.0,0.0,0.8799085423045129,0.20973046289872713
1.0,0.5,glue-cola,glue-mrpc,glue-qqp,0.4822627037392138,0.0,0.6421568627450981,0.58375,0.0,0.0,,0.24402422378347313
0.9,0.25,glue-cola,glue-mrpc,glue-rte,0.5551294343240653,0.0,0.4142156862745098,0.0,0.4729241877256318,0.0,,0.20603847261774383
1.0,0.25,glue-cola,glue-mrpc,glue-sst2,0.7277085330776606,0.0,0.8357843137254902,0.0,0.0,0.0011467889908256,,0.22351994797056807
1.0,0.5,glue-cola,glue-mrpc,glue-stsb,0.5532118887823586,0.0,0.6715686274509803,0.0,0.0,0.0,0.8086040727076658,0.2904835127058578
1.0,0.25,glue-cola,glue-qqp,glue-rte,0.6797698945349953,0.0,0.0,0.666875,0.6028880866425993,0.0,,0.27850471159679924
0.9,1.0,glue-cola,glue-qqp,glue-sst2,0.7018216682646213,0.0,0.0,0.770625,0.0,0.5653669724770642,,0.29111623439166934
1.0,0.5,glue-cola,glue-qqp,glue-stsb,0.6797698945349953,0.0,0.0,0.028125,0.0,0.0,0.8876400283301564,0.22793356040930737
0.9,0.25,glue-cola,glue-rte,glue-sst2,0.716203259827421,0.0,0.0,0.0,0.6101083032490975,0.2568807339449541,,0.22617032814592464
1.0,0.5,glue-cola,glue-rte,glue-stsb,0.7305848513902206,0.0,0.0,0.0,0.0,0.0,0.8806680634698797,0.23017898783715718
0.7000000000000001,0.25,glue-cola,glue-sst2,glue-stsb,0.6912751677852349,0.0,0.0,0.0,0.0,0.0791284403669724,0.8475544004938002,0.23113685837800108
0.9,0.5,glue-mnli,glue-mrpc,glue-qqp,0.0,0.3275,0.6004901960784313,0.4625,0.0288808664259927,0.003440366972477,,0.20325877563955733
0.9,1.0,glue-mnli,glue-mrpc,glue-rte,0.0,0.425625,0.2720588235294117,0.0,0.5090252707581228,0.0,,0.17238701346964774
0.8,0.5,glue-mnli,glue-mrpc,glue-sst2,0.0,0.64125,0.7573529411764706,0.0,0.2707581227436823,0.6215596330275229,,0.3272743852782393
1.0,0.5,glue-mnli,glue-mrpc,glue-stsb,0.0,0.200625,0.0465686274509803,0.0,0.0,0.0,0.8774170706498605,0.16065867115726298
1.0,0.5,glue-mnli,glue-qqp,glue-rte,0.0,0.696875,0.0,0.64875,0.8267148014440433,0.0,,0.3103342573491491
1.0,0.5,glue-mnli,glue-qqp,glue-sst2,0.0,0.775,0.0,0.816875,0.4584837545126354,0.5997706422018348,,0.3785899138163528
1.0,0.25,glue-mnli,glue-qqp,glue-stsb,0.0,0.2625,0.0,0.0,0.0,0.0,0.8782505125865023,0.1629643589409289
0.8,0.25,glue-mnli,glue-rte,glue-sst2,0.0,0.68125,0.0,0.0,0.5270758122743683,0.3864678899082568,,0.22782767174037502
0.9,0.25,glue-mnli,glue-rte,glue-stsb,0.0,0.46375,0.0,0.0,0.3429602888086642,0.0,0.8586821773467214,0.23791320945076938
1.0,0.25,glue-mnli,glue-sst2,glue-stsb,0.0,0.288125,0.0,0.0,0.0,0.0,0.8691914729640697,0.1653309247091528
1.0,0.25,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.3627450980392157,0.63375,0.3140794223826715,0.0,,0.18722493148884103
1.0,0.5,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.6225490196078431,0.559375,0.0,0.0642201834862385,,0.17802060044201168
1.0,0.5,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.7647058823529411,0.01,0.0,0.0,0.6749896441534736,0.2070993609294878
0.8,0.25,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.3676470588235294,0.0,0.5054151624548736,0.2981651376146789,,0.16731819412758314
1.0,0.75,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.2377450980392156,0.0,0.0,0.0,0.7849396449909763,0.14609782043288458
1.0,0.25,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.625,0.0,0.0,0.0080275229357798,0.8370906464251454,0.210016881337275
0.9,0.25,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.639375,0.7003610108303249,0.7591743119266054,,0.29984433182241865
1.0,0.5,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.574375,0.0,0.0,0.8432948622750359,0.20252426603929083
1.0,0.5,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.179375,0.0,0.0,0.8904362608947408,0.1528301801278201
1.0,0.5,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.8818881662314374,0.1259840237473482
