scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.9,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.4707574304889741,0.29,0.6323529411764706,0.501875,0.0288808664259927,0.0,,0.2748380340130625
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.5004793863854267,0.3525,0.2450980392156862,0.0,0.6823104693140795,0.0,,0.2543411278450275
0.9,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.6922339405560882,0.58125,0.5686274509803921,0.0,0.2671480144404332,0.2018348623853211,,0.33015632405174783
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.37679769894535,0.150625,0.0367647058823529,0.0,0.0,0.0,0.860534147075825,0.20353165027193257
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,0.6970278044103547,0.5725,0.0,0.6375,0.8339350180505415,0.0,,0.3915661174944138
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.7142857142857143,0.67375,0.0,0.64875,0.407942238267148,0.5458715596330275,,0.42722850174084137
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.3835091083413231,0.1625,0.0,0.0,0.0,0.0,0.8711215021926806,0.20244723007628623
0.9,1.0,glue-cola,glue-mnli,glue-rte,glue-sst2,0.6874400767018217,0.53125,0.0,0.0,0.5270758122743683,0.5344036697247706,,0.3257385083858515
1.0,0.75,glue-cola,glue-mnli,glue-rte,glue-stsb,0.4755512943432406,0.37,0.0,0.0,0.4115523465703971,0.0,0.7885583061248446,0.2922374210054975
1.0,0.25,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.3700862895493768,0.213125,0.0,0.0,0.0,0.0,0.8655498493381962,0.20696587698393903
1.0,0.25,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.0450623202301054,0.0,0.3872549019607843,0.61,0.335740072202166,0.0,,0.19686532777043655
1.0,0.5,glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.5867689357622243,0.0,0.6176470588235294,0.574375,0.0,0.0091743119266055,,0.2554236152160513
0.9,0.5,glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.0738255033557047,0.0,0.7181372549019608,0.015625,0.0,0.0,0.6694513255849566,0.21100558340608888
1.0,0.25,glue-cola,glue-mrpc,glue-rte,glue-sst2,0.5915627996164909,0.0,0.4632352941176471,0.0,0.4657039711191336,0.0022935779816513,,0.21754223469070327
0.8,0.5,glue-cola,glue-mrpc,glue-rte,glue-stsb,0.1917545541706615,0.0,0.2254901960784313,0.0,0.0,0.0,0.7735701887217172,0.17011641985297285
1.0,0.5,glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.638542665388303,0.0,0.5857843137254902,0.0,0.0,0.0057339449541284,0.8156791952222923,0.2922485884700306
1.0,0.25,glue-cola,glue-qqp,glue-rte,glue-sst2,0.7075743048897412,0.0,0.0,0.643125,0.6462093862815884,0.1846330275229357,,0.31164881695632357
1.0,0.5,glue-cola,glue-qqp,glue-rte,glue-stsb,0.4180249280920421,0.0,0.0,0.39625,0.0,0.0,0.8190821992037387,0.23333673247082581
1.0,1.0,glue-cola,glue-qqp,glue-sst2,glue-stsb,0.6682646212847555,0.0,0.0,0.0,0.0,0.2408256880733945,0.8453312376878884,0.2506316495780055
1.0,0.25,glue-cola,glue-rte,glue-sst2,glue-stsb,0.7277085330776606,0.0,0.0,0.0,0.0,0.0,0.8664992992192674,0.22774397604241828
0.9,0.5,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.245625,0.3161764705882353,0.63125,0.0722021660649819,0.0,,0.18075051952188814
0.9,0.5,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.3625,0.5686274509803921,0.43375,0.0252707581227436,0.4644495412844037,,0.2649425357696485
1.0,0.75,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.02375,0.2352941176470588,0.025,0.0,0.0,0.7688279303029276,0.1504102925642838
0.9,1.0,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.394375,0.2524509803921568,0.0,0.6173285198555957,0.4415137614678899,,0.24366689453080606
