scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.8,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0834132310642377,0.239375,0.3112745098039216,0.58375,0.2021660649819494,0.003440366972477,,0.2033455961175122
0.9,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.573346116970278,0.290625,0.5735294117647058,0.436875,0.0469314079422382,0.2878440366972477,,0.3155929961963529
0.8,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.149568552253116,0.0225,0.2083333333333333,0.003125,0.0,0.0022935779816513,0.7463037577674265,0.16173203161936103
0.9,1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.5973154362416108,0.339375,0.2426470588235294,0.0,0.6173285198555957,0.4770642201834862,,0.32481860501488885
0.9,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.1831255992329817,0.29625,0.1740196078431372,0.0,0.4729241877256318,0.0,0.6924962417713393,0.2598308052247272
0.9,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.4784276126558006,0.0675,0.0,0.0,0.0,0.198394495412844,0.7441191754791893,0.212634469078262
1.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.675934803451582,0.47875,0.0,0.61375,0.7653429602888087,0.606651376146789,,0.4486327342695971
0.9,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.423777564717162,0.31875,0.0,0.0,0.4620938628158845,0.0,0.6938233243518116,0.27120639312640826
1.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.4199424736337488,0.113125,0.0,0.0,0.0,0.2087155963302752,0.7538804264561161,0.21366621377430572
0.9,0.5,glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.4870565675934803,0.378125,0.0,0.0,0.4368231046931408,0.0,0.7466693656151661,0.2926677197002553
1.0,0.25,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0939597315436241,0.0,0.3504901960784313,0.579375,0.3646209386281588,0.003440366972477,,0.19884089046038445
1.0,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.3137254901960784,0.301875,0.0,0.0,0.642587050180333,0.1797410771966302
1.0,1.0,glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.2042186001917545,0.0,0.553921568627451,0.00875,0.0,0.1972477064220183,0.664875093945732,0.23271613845527941
0.8,0.5,glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.3451581975071908,0.0,0.213235294117647,0.0,0.0,0.0263761467889908,0.752503252537887,0.19103898442167364
1.0,0.5,glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5225311601150527,0.0,0.0,0.3175,0.0,0.0057339449541284,0.8238083907821699,0.23851049940733587
0.8,0.5,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.2675,0.3063725490196078,0.561875,0.2274368231046931,0.2465596330275229,,0.22996342930740338
1.0,0.5,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.264375,0.2622549019607843,0.230625,0.2310469314079422,0.0,0.6336390062402592,0.23170583422985508
1.0,1.0,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.063125,0.2083333333333333,0.0125,0.0,0.1456422018348623,0.7530982030975246,0.1689569626093886
1.0,0.5,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.384375,0.159313725490196,0.0,0.4657039711191336,0.0,0.7574516047834979,0.2524063287704039
1.0,0.5,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.40875,0.0,0.0125,0.4765342960288808,0.0,0.7302503224899798,0.23257637407412293
1.0,0.5,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.3039215686274509,0.32,0.0,0.0,0.6573815472295103,0.18304330226528018
