scaling_factor,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.6000000000000001,glue-cola,glue-mnli,0.8636942675159236,0.2502588391642972,0.0,0.0,0.0,0.18918918918918914,0.0,0.18616318512420144
0.55,glue-cola,glue-mrpc,0.9095541401273886,0.0,0.0,0.0,0.0,0.03685503685503682,0.0,0.13520131099748933
0.75,glue-cola,glue-qqp,0.886624203821656,0.0,0.0,0.6780095331775287,0.0,0.0,0.0,0.2235191052855978
0.55,glue-cola,glue-rte,0.9019108280254777,0.0,0.0,0.0,0.2627118644067796,0.0012285012285011344,0.0,0.1665501705229655
0.45,glue-cola,glue-sst2,0.8777070063694267,0.0,0.0,0.0,0.0,0.896805896805897,0.0,0.2535018433107605
0.75,glue-cola,glue-stsb,0.9184713375796177,0.0,0.0,0.0,0.0,0.0012285012285011344,0.6555389505863048,0.22503411277063196
1.0,glue-mnli,glue-mrpc,0.0,0.3837302200519223,0.6400000000000001,0.0,0.39830508474576265,0.002457002457002376,0.0,0.2034989010363839
0.8500000000000001,glue-mnli,glue-qqp,0.0,0.4095144640870318,0.0,0.7998568914001716,0.016949152542372777,0.0,0.0,0.17518864400422518
1.0,glue-mnli,glue-rte,0.0,0.5369189640252194,0.0,0.0,0.7457627118644068,0.0,0.0,0.18324023941280373
0.95,glue-mnli,glue-sst2,0.0,0.35263745518605516,0.0,0.0,0.0,0.9471744471744472,0.0,0.1856874146229289
1.0,glue-mnli,glue-stsb,0.0,0.5346438836691804,0.0,0.0,0.0,0.0,0.6820296054915819,0.17381049845153745
1.0,glue-mrpc,glue-qqp,0.0,0.0,0.7914285714285715,0.9344122563086117,0.0,0.0,0.019792172371912588,0.24937614287272794
0.7000000000000001,glue-mrpc,glue-rte,0.0,0.0,0.002857142857142784,0.0,0.7838983050847458,0.0,0.0,0.1123936354202698
1.0,glue-mrpc,glue-sst2,0.0,0.0007583601186796885,0.28571428571428564,0.0,0.0,0.9742014742014743,0.0,0.1800963028620628
1.0,glue-mrpc,glue-stsb,0.0,0.0,0.03142857142857133,0.0,0.0,0.0,0.6281590981654968,0.09422680994200973
0.6000000000000001,glue-qqp,glue-rte,0.0,0.0,0.0,0.7624804011478271,0.6652542372881355,0.0,0.0,0.2039620912051375
1.0,glue-qqp,glue-sst2,0.0,0.0007583601186796885,0.0,0.9097437727420643,0.0,0.9680589680589682,0.0,0.2683658715599589
1.0,glue-qqp,glue-stsb,0.0,0.0,0.0,0.8110698384758749,0.0,0.0,0.6864372831325743,0.21392958880120702
1.0,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.5127118644067796,0.9766584766584767,0.0,0.21276719158075091
0.7000000000000001,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.30508474576271183,0.0,0.7212526234448201,0.14661962417250457
0.8,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.92997542997543,0.6344064655088903,0.2234831279263315
