scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.5177372962607862,0.185,0.0,0.198125,0.0,0.0149082568807339,,0.1308243647345029
0.45,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.6510067114093959,0.1975,0.0,0.0,0.2454873646209386,0.0011467889908256,,0.1564486950030229
0.35,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.5896452540747843,0.05375,0.0,0.0,0.0,0.8486238532110092,,0.21314558675511336
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.6471716203259827,0.185625,0.0,0.0,0.0,0.0,0.2621609061108665,0.15642250377669273
0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,0.5321188878235859,0.184375,0.0,0.23375,0.4007220216606498,0.0103211009174311,,0.19446957291452382
0.35,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.5647171620325983,0.036875,0.0,0.0,0.0,0.8302752293577982,,0.20455248448434235
0.55,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.5819750719079578,0.200625,0.0,0.0,0.0,0.0194954128440367,0.2630470328196526,0.1521632167959496
0.35,glue-cola,glue-mnli,glue-rte,glue-sst2,0.5973154362416108,0.02625,0.0,0.0,0.0902527075812274,0.8589449541284404,,0.22468044256446837
0.55,glue-cola,glue-mnli,glue-rte,glue-stsb,0.6701821668264621,0.365625,0.0,0.0,0.5054151624548736,0.0,,0.22017461846876227
0.45,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.5599232981783318,0.175625,0.0,0.0,0.0,0.8887614678899083,0.044490486631892,0.2384000361000189
0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.673058485139022,0.0,0.0,0.569375,0.4693140794223827,0.0,,0.24453536636591494
0.35,glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.6471716203259827,0.0,0.0,0.0,0.0,0.7144495412844036,,0.19451730880148377
0.7000000000000001,glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.6347075743048898,0.0,0.0,0.369375,0.0,0.0,0.0359847219177657,0.14858104231752223
0.35,glue-cola,glue-mrpc,glue-rte,glue-sst2,0.663470757430489,0.0,0.0,0.0,0.0,0.6169724770642202,,0.18292046207067275
0.65,glue-cola,glue-mrpc,glue-rte,glue-stsb,0.6874400767018217,0.0,0.0,0.0,0.0180505415162454,0.0,0.4246256226528235,0.1614451772672701
0.35,glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.6596356663470757,0.0,0.0,0.0,0.0,0.7259174311926605,,0.19793615679139087
0.35,glue-cola,glue-qqp,glue-rte,glue-sst2,0.6462128475551294,0.0,0.0,0.0,0.003610108303249,0.7178899082568807,,0.1953875520164656
0.65,glue-cola,glue-qqp,glue-rte,glue-stsb,0.660594439117929,0.0,0.0,0.318125,0.4223826714801444,0.0,0.4226025948014107,0.2605292436284977
0.4,glue-cola,glue-qqp,glue-sst2,glue-stsb,0.6625119846596357,0.0,0.0,0.0,0.0,0.7924311926605505,,0.20784902533145516
0.4,glue-cola,glue-rte,glue-sst2,glue-stsb,0.675934803451582,0.0,0.0,0.0,0.0,0.625,0.0361543231635342,0.191012732373588
