scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.6878980891719746,0.22447459512918777,0.0,0.2369669481998639,0.0,0.015970515970515926,0.0,0.16647287835307747
0.45,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.864968152866242,0.23964179750278156,0.0,0.0,0.28813559322033894,0.0012285012285011344,0.0,0.19913914925969478
0.35,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.7834394904458598,0.0652189702064532,0.0,0.0,0.0,0.9090909090909092,0.0,0.2511070528204603
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.8598726114649681,0.2252329552478675,0.0,0.0,0.0,0.0,0.2898135316251122,0.19641701404827824
0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,0.7070063694267517,0.2237162350105081,0.0,0.27957614708753664,0.4703389830508474,0.011056511056510957,0.0,0.24167060651887926
0.35,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.7503184713375796,0.04474324700210162,0.0,0.0,0.0,0.8894348894348896,0.0,0.2406423725392244
0.5,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.8585987261146496,0.2237162350105081,0.0,0.0,0.0,0.02702702702702699,0.22827288232508566,0.19108783863961004
0.35,glue-cola,glue-mnli,glue-rte,glue-sst2,0.7936305732484077,0.03185112498454691,0.0,0.0,0.10593220338983046,0.9201474201474202,0.0,0.2645087602528865
0.55,glue-cola,glue-mnli,glue-rte,glue-stsb,0.8904458598726115,0.4436406694276177,0.0,0.0,0.5932203389830508,0.0,0.0,0.2753295526118971
0.45,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.7439490445859872,0.21309919334899247,0.0,0.0,0.0,0.9520884520884523,0.0491833250265609,0.27976000214999897
0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.8942675159235668,0.0,0.0,0.6809996523977161,0.5508474576271186,0.0,0.0,0.3037306608497716
0.35,glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.8598726114649681,0.0,0.0,0.0,0.0,0.7653562653562654,0.0,0.2321755538316048
0.7000000000000001,glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.8433121019108281,0.0,0.0,0.44179011478271163,0.0,0.0,0.03978037571751811,0.18926894177300826
0.35,glue-cola,glue-mrpc,glue-rte,glue-sst2,0.8815286624203822,0.0,0.0,0.0,0.0,0.660933660933661,0.0,0.220351760479149
0.65,glue-cola,glue-mrpc,glue-rte,glue-stsb,0.913375796178344,0.0,0.0,0.0,0.021186440677966,0.0,0.46941496024386115,0.20056817101431015
0.35,glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.8764331210191082,0.0,0.0,0.0,0.0,0.7776412776412777,0.0,0.2362963426657694
0.35,glue-cola,glue-qqp,glue-rte,glue-sst2,0.8585987261146496,0.0,0.0,0.0,0.004237288135593106,0.7690417690417691,0.0,0.23312539761314457
0.65,glue-cola,glue-qqp,glue-rte,glue-stsb,0.8777070063694267,0.0,0.0,0.38049267076886667,0.4957627118644068,0.0,0.46717854423931027,0.3173058476060015
0.4,glue-cola,glue-qqp,glue-sst2,glue-stsb,0.8802547770700636,0.0,0.0,0.0,0.0,0.848894348894349,0.0,0.2470213037092018
0.4,glue-cola,glue-rte,glue-sst2,glue-stsb,0.8980891719745222,0.0,0.0,0.0,0.0,0.6695331695331697,0.039967866433557216,0.22965574399160701
0.5,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.279834883792805,0.0,0.5845683075466674,0.6694915254237288,0.0,0.0,0.21912781668045733
0.7000000000000001,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.3685630176783286,0.0,0.4313246975120551,0.0,0.9312039312039313,0.0,0.2472988066277593
0.95,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.3731131783904067,0.08571428571428563,0.5584047643700263,0.016949152542372777,0.0,0.41185075661622395,0.2065760196619022
0.55,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.36628793732228954,0.0,0.0,0.43644067796610164,0.918918918918919,0.0,0.24594964774390146
0.55,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.5255435622450241,0.0,0.0,0.6101694915254237,0.0,0.04799762494344911,0.16910152553055666
0.75,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.3587043361354927,0.0,0.0,0.0,0.8673218673218673,0.34033081404508625,0.22376528821463518
0.5,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.3314033718630239,0.0,0.25939284235127064,0.5889830508474576,0.961916461916462,0.0,0.3059565324254591
0.6000000000000001,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.5081012795153913,0.0,0.2100558752181759,0.7203389830508474,0.0,0.0,0.2054994482549164
0.7000000000000001,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.3511207349486957,0.0,0.006727768245422003,0.0,0.923832923832924,0.2474149249408598,0.2184423359954145
0.7000000000000001,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.0,0.40344758313759427,0.0,0.0,0.6101694915254237,0.7911547911547913,0.0,0.25782455225968703
0.55,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.001273885350318461,0.0,0.0,0.6271775064343402,0.538135593220339,0.9066339066339067,0.0,0.29617441309127207
0.65,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.7086582551844511,0.5550847457627118,0.0,0.4914472487492061,0.25074146424233845
0.95,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.017442282729632837,0.017142857142857054,0.6137219699434961,0.0,0.923832923832924,0.30149694256177,0.2676624251729543
0.9,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.001273885350318461,0.022750803560390654,0.0,0.0,0.3305084745762712,0.6842751842751844,0.5047237410857529,0.2205045841211311
0.75,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0007583601186796885,0.0,0.26985825962192705,0.5254237288135593,0.9004914004914006,0.5207075680720228,0.31674847387394134
