scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.5455417066155321,0.183125,0.0,0.17,0.4043321299638989,0.0011467889908256,,0.1863065179386081
0.3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5963566634707574,0.024375,0.0,0.0,0.0,0.8119266055045872,,0.2046654669964778
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.6558005752636625,0.1675,0.0,0.0,0.0,0.0022935779816513,,0.11794202189218769
0.3,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.6164908916586769,0.019375,0.0,0.0,0.0072202166064981,0.7305045871559633,,0.19622724220301976
0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.6577181208053692,0.29125,0.0,0.0,0.3682310469314079,0.0,,0.18817130967668244
0.35,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.6337488015340365,0.099375,0.0,0.0,0.0,0.7339449541284404,,0.20958125080892526
0.3,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.5963566634707574,0.011875,0.0,0.0,0.0252707581227436,0.805045871559633,,0.2055068990218763
0.45,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.6490891658676894,0.258125,0.0,0.0,0.4909747292418772,0.0,,0.19974127072993805
0.35,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.6059443911792906,0.08625,0.0,0.0,0.0,0.8325688073394495,,0.2178233140741057
0.4,glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.5704697986577181,0.171875,0.0,0.0,0.2635379061371841,0.6594036697247706,,0.23789805350281037
0.3,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.6184084372003835,0.0,0.0,0.0,0.003610108303249,0.6009174311926605,,0.17470513952804187
0.6000000000000001,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.6116970278044104,0.0,0.0,0.13375,0.3790613718411552,0.0,0.2375040332616805,0.19457320470103515
0.3,glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.6069031639501438,0.0,0.0,0.0,0.0,0.6926605504587156,,0.1856519592012656
0.35,glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.6740172579098753,0.0,0.0,0.0,0.0,0.2752293577981651,,0.13560665938686292
0.35,glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.6673058485139022,0.0,0.0,0.0,0.0,0.5974770642201835,,0.18068327324772654
0.45,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0009587727708533,0.27625,0.0,0.135,0.483754512635379,0.8463302752293578,,0.24889908009079859
0.5,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.35,0.0,0.11875,0.6642599277978339,0.0,,0.16185856111397628
0.65,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.30125,0.0,0.059375,0.0,0.8096330275229358,0.0453719587025892,0.17366142660364642
0.6000000000000001,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.321875,0.0,0.0,0.4765342960288808,0.4495412844036697,,0.17827865434750723
0.55,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.30875,0.0,0.00125,0.5992779783393501,0.7477064220183486,,0.23671205719395694
0.7000000000000001,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.003125,0.0,0.0275,0.3537906137184115,0.5206422018348624,0.2994584810619091,0.17207375665931185
