scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.7248407643312101,0.22219951477314873,0.0,0.2033281069727539,0.47457627118644063,0.0012285012285011344,0.0,0.23231045121315066
0.3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.7923566878980891,0.02957604462850785,0.0,0.0,0.0,0.8697788697788699,0.0,0.2416730860436381
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.8713375796178344,0.20324051180615652,0.0,0.0,0.0,0.002457002457002376,0.0,0.1538621562687133
0.3,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.819108280254777,0.02350916367907034,0.0,0.0,0.00847457627118633,0.7825552825552827,0.0,0.2333781861086166
0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.8738853503184714,0.35339581530473485,0.0,0.0,0.43220338983050843,0.0,0.0,0.23706922220767354
0.35,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.8420382165605096,0.12057925887007047,0.0,0.0,0.0,0.7862407862407864,0.0,0.24983689452448093
0.3,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.7923566878980891,0.014408842254914081,0.0,0.0,0.029661016949152446,0.8624078624078625,0.0,0.2426906299300026
0.45,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.8624203821656051,0.3132027290147113,0.0,0.0,0.5762711864406779,0.0,0.0,0.2502706139458563
0.35,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.8050955414012739,0.10465369637779699,0.0,0.0,0.0,0.8918918918918919,0.0,0.25737730423870897
0.4,glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.7579617834394904,0.20854903263691432,0.0,0.0,0.30932203389830504,0.7063882063882064,0.0,0.28317443662327374
0.3,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.8216560509554139,0.0,0.0,0.0,0.004237288135593106,0.6437346437346437,0.0,0.20994685468937865
0.6000000000000001,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.8127388535031846,0.0,0.0,0.15997137828003433,0.44491525423728806,0.0,0.26255586187845675,0.2400259068427091
0.3,glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.8063694267515923,0.0,0.0,0.0,0.0,0.742014742014742,0.0,0.2211977383951906
0.35,glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.8955414012738853,0.0,0.0,0.0,0.0,0.29484029484029484,0.0,0.17005452801631143
0.35,glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.886624203821656,0.0,0.0,0.0,0.0,0.6400491400491402,0.0,0.2180961919815423
0.45,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.001273885350318461,0.3351951724564223,0.0,0.1614664378901281,0.5677966101694915,0.9066339066339067,0.0,0.28176657321432386
0.5,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.4246816664606255,0.0,0.14203066295890895,0.7796610169491526,0.0,0.0,0.19233904948124098
0.65,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.36552957720360985,0.0,0.07101533147945448,0.0,0.8673218673218673,0.050157774411968586,0.19343207863098574
0.6000000000000001,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.3905554611200396,0.0,0.0,0.559322033898305,0.4815724815724816,0.0,0.20449285379868945
0.55,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.37462989862776613,0.0,0.0014950596100937786,0.7033898305084745,0.8009828009828011,0.0,0.2686425128184479
0.7000000000000001,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0037918005933984425,0.0,0.032891311422063134,0.4152542372881355,0.5577395577395579,0.33104523957871057,0.19153173523169512
