scaling_factor,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.6000000000000001,glue-cola,glue-mnli,0.6922339405560882,0.4875,0.0,0.0,0.075812274368231,0.0126146788990825,,0.18116584197477167
1.0,glue-cola,glue-mrpc,0.6299137104506232,0.0,0.2009803921568627,0.0,0.0,0.0,,0.11869915751535512
1.0,glue-cola,glue-qqp,0.4554170661553212,0.0,0.0,0.54625,0.0,0.0,,0.14309529516504588
0.55,glue-cola,glue-rte,0.673058485139022,0.0,0.0,0.0,0.2093862815884476,0.0,,0.12606353810392423
0.95,glue-cola,glue-sst2,0.6596356663470757,0.0,0.0,0.0,0.0,0.9094036697247706,,0.22414847658169235
0.7000000000000001,glue-cola,glue-stsb,0.6845637583892618,0.0,0.0,0.0,0.0,0.0,0.843592070517582,0.21830797555812054
0.6000000000000001,glue-mnli,glue-mrpc,0.0,0.50875,0.7867647058823529,0.0,0.1805054151624548,0.0045871559633027,,0.2115153252868729
0.65,glue-mnli,glue-qqp,0.0,0.67375,0.0,0.64875,0.2418772563176895,0.0011467889908256,,0.22364629218693072
0.8500000000000001,glue-mnli,glue-rte,0.0,0.7525,0.0,0.0,0.5018050541516246,0.0,,0.17918643630737494
0.6000000000000001,glue-mnli,glue-sst2,0.0,0.37625,0.0,0.0,0.0938628158844765,0.9105504587155964,,0.19723761065715326
0.5,glue-mnli,glue-stsb,0.0,0.0925,0.0,0.0,0.1335740072202166,0.0,0.785771549949824,0.1445493653100058
0.55,glue-mrpc,glue-qqp,0.0,0.0,0.2965686274509804,0.653125,0.0,0.0,,0.1356705182072829
0.9,glue-mrpc,glue-rte,0.0,0.0,0.4338235294117647,0.0,0.4223826714801444,0.0,,0.12231517155598702
0.9,glue-mrpc,glue-sst2,0.0,0.0,0.7794117647058824,0.0,0.0,0.9094036697247706,,0.24125934777580757
0.6000000000000001,glue-mrpc,glue-stsb,0.0,0.0,0.5465686274509803,0.0,0.0,0.0,0.7513581293168269,0.18541810810968676
0.5,glue-qqp,glue-rte,0.0,0.0,0.0,0.643125,0.447653429602888,0.0,,0.1558254899432697
0.75,glue-qqp,glue-sst2,0.0,0.0,0.0,0.778125,0.0,0.9185779816513762,,0.24238614023591087
0.75,glue-qqp,glue-stsb,0.0,0.0,0.0,0.62375,0.0,0.0,0.8293461000295247,0.20758515714707496
0.75,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.6137184115523465,0.911697247706422,,0.21791652275125267
0.5,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.2418772563176895,0.0,0.758389231914804,0.1428952126046419
0.65,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.9220183486238532,0.7738012084580504,0.24225993672598625
