scaling_factor,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.75,glue-cola,glue-mnli,glue-mrpc,0.4199424736337488,0.22625,0.284313725490196,0.0,0.0,0.0,,0.1329294570177064
0.8500000000000001,glue-cola,glue-mnli,glue-qqp,0.2933844678811121,0.47375,0.0,0.020625,0.0,0.0,,0.11253706684015886
0.45,glue-cola,glue-mnli,glue-rte,0.660594439117929,0.410625,0.0,0.0,0.4729241877256318,0.0,,0.22059194669193727
0.45,glue-cola,glue-mnli,glue-sst2,0.4343240651965484,0.228125,0.0,0.0,0.0,0.9162844036697247,,0.22553335269518188
0.45,glue-cola,glue-mnli,glue-stsb,0.613614573346117,0.055625,0.0,0.0,0.1552346570397112,0.0,0.7619463906774273,0.22663151729475078
0.45,glue-cola,glue-mrpc,glue-qqp,0.4314477468839885,0.0,0.3014705882352941,0.53875,0.0,0.0,,0.18166690501704036
0.45,glue-cola,glue-mrpc,glue-rte,0.3911792905081496,0.0,0.0612745098039215,0.0,0.4115523465703971,0.0,,0.12342944955463832
0.35,glue-cola,glue-mrpc,glue-sst2,0.5877277085330777,0.0,0.0,0.0,0.0,0.8830275229357798,,0.21010789020983678
0.45,glue-cola,glue-mrpc,glue-stsb,0.5790987535953979,0.0,0.0049019607843137,0.0,0.0,0.0,0.5491898639095754,0.161884368327041
0.5,glue-cola,glue-qqp,glue-rte,0.4084372003835091,0.0,0.0,0.658125,0.3104693140794224,0.0,,0.1967187877804188
0.4,glue-cola,glue-qqp,glue-sst2,0.4592521572387344,0.0,0.0,0.0,0.0,0.8795871559633027,,0.19126275902886244
0.45,glue-cola,glue-qqp,glue-stsb,0.6049856184084372,0.0,0.0,0.0,0.0,0.0011467889908256,0.5114096961678634,0.15964887193816088
0.4,glue-cola,glue-rte,glue-sst2,0.6030680728667306,0.0,0.0,0.0,0.0,0.9013761467889908,,0.21492060280796021
0.45,glue-cola,glue-rte,glue-stsb,0.6490891658676894,0.0,0.0,0.0,0.1263537906137184,0.0,0.7332320385337295,0.21552499928787677
0.55,glue-cola,glue-sst2,glue-stsb,0.585810162991371,0.0,0.0,0.0,0.0,0.9002293577981652,0.3056338182830971,0.25595333415323335
0.45,glue-mnli,glue-mrpc,glue-qqp,0.0,0.035,0.2647058823529412,0.36375,0.0,0.0011467889908256,,0.09494323876339526
0.4,glue-mnli,glue-mrpc,glue-rte,0.0,0.22625,0.0,0.0,0.7581227436823105,0.0,,0.1406246776689015
0.5,glue-mnli,glue-mrpc,glue-sst2,0.0,0.29875,0.0073529411764705,0.0,0.0577617328519855,0.8394495412844036,,0.17190203075897997
0.45,glue-mnli,glue-mrpc,glue-stsb,0.0,0.133125,0.0,0.0,0.1227436823104693,0.0,0.7323913125816888,0.14117999927030828
0.4,glue-mnli,glue-qqp,glue-rte,0.0,0.266875,0.0,0.22875,0.7545126353790613,0.0,,0.17859109076843735
0.55,glue-mnli,glue-qqp,glue-sst2,0.0,0.2975,0.0,0.00875,0.0,0.9002293577981652,,0.17235419397116644
0.5,glue-mnli,glue-qqp,glue-stsb,0.0,0.3575,0.0,0.0,0.4404332129963899,0.0,0.5611738468786043,0.19415815141071344
0.45,glue-mnli,glue-rte,glue-sst2,0.0,0.44375,0.0,0.0,0.51985559566787,0.9002293577981652,,0.2662621362094336
0.45,glue-mnli,glue-rte,glue-stsb,0.0,0.345625,0.0,0.0,0.5270758122743683,0.0,,0.12467154461062403
0.5,glue-mnli,glue-sst2,glue-stsb,0.0,0.2775,0.0,0.0,0.0541516245487364,0.8245412844036697,0.7690432094909053,0.27503373120618735
0.4,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0392156862745098,0.075,0.3393501805054151,0.0,,0.06479512382570356
0.5,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.3063725490196078,0.631875,0.0,0.8222477064220184,,0.2514993222059466
0.45,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.3480392156862745,0.346875,0.0,0.0,0.3978092108074559,0.1561033466419615
0.45,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.2058823529411764,0.0,0.3429602888086642,0.6089449541284404,,0.16539822798261158
0.45,glue-mrpc,glue-rte,glue-stsb,0.0,0.0025,0.267156862745098,0.0,0.2707581227436823,0.0,0.3947741091642287,0.133598442093287
0.55,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.4068627450980392,0.0,0.0,0.8922018348623854,0.5221902613340764,0.26017926304207156
0.5,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.653125,0.223826714801444,0.9025229357798163,,0.2542106643687515
0.5,glue-qqp,glue-rte,glue-stsb,0.0,0.01125,0.0,0.63,0.5740072202166066,0.0,0.3175006167890531,0.2189654052865228
0.6000000000000001,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.23125,0.0,0.8910550458715596,0.4072639115842168,0.2185098510651109
0.5,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.003610108303249,0.5172018348623854,0.7297486712297321,0.1786515163421952
