scaling_factor,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.75,glue-cola,glue-mnli,glue-mrpc,0.5579617834394904,0.27452636296204724,0.33142857142857135,0.0,0.0,0.0,0.0,0.16627381683287273
0.8500000000000001,glue-cola,glue-mnli,glue-qqp,0.38980891719745214,0.5748369699592039,0.0,0.02466848356654735,0.0,0.0,0.0,0.14133062438902905
0.45,glue-cola,glue-mnli,glue-rte,0.8777070063694267,0.4982425979725553,0.0,0.0,0.5550847457627118,0.0,0.0,0.2758620500149563
0.45,glue-cola,glue-mnli,glue-sst2,0.5770700636942675,0.27680144331808626,0.0,0.0,0.0,0.9815724815724817,0.0,0.2622062840835479
0.45,glue-cola,glue-mnli,glue-stsb,0.8152866242038217,0.06749405056249227,0.0,0.0,0.1822033898305085,0.0,0.8423161853806227,0.2724714642824922
0.45,glue-cola,glue-mrpc,glue-qqp,0.5732484076433121,0.0,0.3514285714285714,0.6443706919504185,0.0,0.0,0.0,0.2241496672889003
0.45,glue-cola,glue-mrpc,glue-rte,0.5197452229299363,0.0,0.07142857142857136,0.0,0.48305084745762705,0.0,0.0,0.15346066311659068
0.35,glue-cola,glue-mrpc,glue-sst2,0.7808917197452229,0.0,0.0,0.0,0.0,0.945945945945946,0.0,0.24669109509873843
0.45,glue-cola,glue-mrpc,glue-stsb,0.7694267515923566,0.0,0.005714285714285685,0.0,0.0,0.0,0.6071181868933566,0.1974656034571427
0.5,glue-cola,glue-qqp,glue-rte,0.5426751592356688,0.0,0.0,0.7871488847143744,0.364406779661017,0.0,0.0,0.24203297480157998
0.4,glue-cola,glue-qqp,glue-sst2,0.6101910828025477,0.0,0.0,0.0,0.0,0.9422604422604424,0.0,0.22177878929471287
0.45,glue-cola,glue-qqp,glue-stsb,0.8038216560509555,0.0,0.0,0.0,0.0,0.0012285012285011344,0.5653529824582441,0.1957718771053858
0.4,glue-cola,glue-rte,glue-sst2,0.8012738853503184,0.0,0.0,0.0,0.0,0.9656019656019657,0.0,0.25241083585032625
0.45,glue-cola,glue-rte,glue-stsb,0.8624203821656051,0.0,0.0,0.0,0.1483050847457627,0.0,0.8105730550773848,0.2601855031412504
0.55,glue-cola,glue-sst2,glue-stsb,0.7783439490445859,0.0,0.0,0.0,0.0,0.9643734643734645,0.3378719488527915,0.29722705175297737
0.45,glue-mnli,glue-mrpc,glue-qqp,0.0,0.04246816664606256,0.3085714285714286,0.4350623465372896,0.0,0.0012285012285011344,0.0,0.11247577756904027
0.4,glue-mnli,glue-mrpc,glue-rte,0.0,0.27452636296204724,0.0,0.0,0.8898305084745762,0.0,0.0,0.16633669591951764
0.5,glue-mnli,glue-mrpc,glue-sst2,0.0,0.3624961367288911,0.00857142857142847,0.0,0.06779661016949146,0.8992628992628994,0.0,0.19116101067610147
0.45,glue-mnli,glue-mrpc,glue-stsb,0.0,0.16153070527877364,0.0,0.0,0.14406779661016947,0.0,0.8096436496946204,0.1593203073690805
0.4,glue-mnli,glue-qqp,glue-rte,0.0,0.3238197706762269,0.0,0.2735959086471615,0.885593220338983,0.0,0.0,0.21185841423748167
0.55,glue-mnli,glue-qqp,glue-sst2,0.0,0.3609794164915317,0.0,0.010465417270656452,0.0,0.9643734643734645,0.0,0.19083118544795039
0.5,glue-mnli,glue-qqp,glue-stsb,0.0,0.4337819878847818,0.0,0.0,0.5169491525423728,0.0,0.6203662355010339,0.22444248227545552
0.45,glue-mnli,glue-rte,glue-sst2,0.0,0.5384356842625788,0.0,0.0,0.6101694915254237,0.9643734643734645,0.0,0.30185409145163816
0.45,glue-mnli,glue-rte,glue-stsb,0.0,0.4193731456298677,0.0,0.0,0.6186440677966102,0.0,0.0,0.14828817334663968
0.5,glue-mnli,glue-sst2,glue-stsb,0.0,0.3367118926937817,0.0,0.0,0.06355932203389823,0.8832923832923834,0.850161573749733,0.30481788168139945
0.4,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.045714285714285714,0.08970357660562672,0.39830508474576265,0.0,0.0,0.07624613529509643
0.5,glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.35714285714285715,0.755752632902405,0.0,0.8808353808353809,0.0,0.28481869584009184
0.45,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.4057142857142857,0.4148790418010236,0.0,0.0,0.43976996420798065,0.18005189881761283
0.45,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.23999999999999994,0.0,0.40254237288135586,0.6523341523341525,0.0,0.18498236074507263
0.45,glue-mrpc,glue-rte,glue-stsb,0.0,0.003033440474718754,0.3114285714285714,0.0,0.31779661016949146,0.0,0.4364147212805975,0.15266762047905416
0.55,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.4742857142857143,0.0,0.0,0.955773955773956,0.577270677243803,0.2867614781862105
0.5,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.7811686462739993,0.2627118644067796,0.9668304668304668,0.0,0.2872444253587494
0.5,glue-qqp,glue-rte,glue-stsb,0.0,0.013650482136234392,0.0,0.7535100434872645,0.6737288135593221,0.0,0.3509904524279977,0.2559828273729741
0.6000000000000001,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.27658602786734904,0.0,0.9545454545454546,0.45022194296873835,0.24019334648307744
0.5,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.004237288135593106,0.5540540540540542,0.8067222636100558,0.19500194368567186
