scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.2933844678811121,0.00875,0.2647058823529412,0.560625,0.0,0.0,,0.16106647860486475
0.35,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.4563758389261745,0.233125,0.0,0.0,0.6895306859205776,0.0,,0.19700450354953603
0.35,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.4563758389261745,0.155625,0.0,0.0,0.0,0.838302752293578,,0.2071862273171075
0.55,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.2694151486097795,0.334375,0.4975490196078431,0.0,0.0288808664259927,0.0,0.496301621123316,0.23236023653813304
0.4,glue-cola,glue-mnli,glue-qqp,glue-rte,0.3135186960690316,0.34875,0.0,0.015625,0.4368231046931408,0.0,,0.1592452572517389
0.4,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.2895493767976989,0.25,0.0,0.0,0.0,0.8956422018348624,,0.20502736837608018
0.45,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.1188878235858101,0.45625,0.0,0.0,0.3790613718411552,0.0,0.5342872391420767,0.21264091922414888
0.4,glue-cola,glue-mnli,glue-rte,glue-sst2,0.4822627037392138,0.355625,0.0,0.0,0.2707581227436823,0.856651376146789,,0.28075674323281213
0.35,glue-cola,glue-mnli,glue-rte,glue-stsb,0.4765100671140939,0.336875,0.0,0.0,0.5270758122743683,0.0,,0.1914944113412089
0.4,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.1524448705656759,0.211875,0.0,0.0,0.0577617328519855,0.8669724770642202,0.6033389769073388,0.27034186534131727
0.4,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0098039215686274,0.22875,0.259927797833935,0.0,,0.07121167420036605
0.3,glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.5043144774688398,0.0,0.0,0.0,0.0,0.8428899082568807,,0.19245776938938866
0.4,glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.0661553211888782,0.0,0.1372549019607843,0.03875,0.0,0.0,0.2859378848900899,0.07544258686282178
0.3,glue-cola,glue-mrpc,glue-rte,glue-sst2,0.5560882070949185,0.0,0.0,0.0,0.0,0.7236238532110092,,0.18281600861513253
0.4,glue-cola,glue-mrpc,glue-rte,glue-stsb,0.0019175455417066,0.0,0.2965686274509804,0.0,0.075812274368231,0.0,0.5149738401584161,0.12703889821704772
0.3,glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.4774688398849472,0.0,0.0,0.0,0.0,0.8589449541284404,,0.1909162562876268
0.35,glue-cola,glue-qqp,glue-rte,glue-sst2,0.4870565675934803,0.0,0.0,0.0,0.0,0.8555045871559633,,0.19179445067849193
0.5,glue-cola,glue-qqp,glue-rte,glue-stsb,0.0143815915627996,0.00625,0.0,0.45875,0.3465703971119133,0.0,0.4268177547556627,0.17896710620433937
0.45,glue-cola,glue-qqp,glue-sst2,glue-stsb,0.3691275167785235,0.0,0.0,0.0,0.0,0.8325688073394495,0.0871627089891941,0.1841227190153096
