scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.38980891719745214,0.01061704166151564,0.3085714285714286,0.6705342351270598,0.0,0.0,0.0,0.19707594607963658
0.35,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.6063694267515923,0.2828683242675238,0.0,0.0,0.8093220338983051,0.0,0.0,0.2426513978453459
0.35,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.6063694267515923,0.18883166955124245,0.0,0.0,0.0,0.8980343980343981,0.0,0.24189078490531898
0.55,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.3579617834394904,0.4057226634936333,0.58,0.0,0.03389830508474567,0.0,0.5486513138163687,0.27517629511917685
0.35,glue-cola,glue-mnli,glue-qqp,glue-rte,0.6929936305732484,0.27680144331808626,0.0,0.0014950596100937786,0.40254237288135586,0.007371007371007342,0.0,0.1973147876791131
0.4,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.38471337579617826,0.3033440474718754,0.0,0.0,0.0,0.9594594594594597,0.0,0.23535955467535905
0.45,glue-cola,glue-mnli,glue-qqp,glue-stsb,0.15796178343949036,0.5536028866361725,0.0,0.0,0.44491525423728806,0.0,0.5906436393400071,0.2495890805218511
0.4,glue-cola,glue-mnli,glue-rte,glue-sst2,0.640764331210191,0.43150690752874277,0.0,0.0,0.31779661016949146,0.9176904176904178,0.0,0.32967975237126323
0.35,glue-cola,glue-mnli,glue-rte,glue-stsb,0.6331210191082801,0.40875610396835205,0.0,0.0,0.6186440677966102,0.0,0.0,0.23721731298189175
0.4,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.2025477707006369,0.2570840802324144,0.0,0.0,0.06779661016949146,0.9287469287469289,0.6669789262578009,0.3033077594438961
0.4,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.01142857142857137,0.2735959086471615,0.30508474576271183,0.0,0.0,0.08430131797692066
0.3,glue-cola,glue-mrpc,glue-qqp,glue-sst2,0.6700636942675158,0.0,0.0,0.0,0.0,0.9029484029484031,0.0,0.2247160138879884
0.4,glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.08789808917197446,0.0,0.16,0.046346847912907135,0.0,0.0,0.3160984964339688,0.0871919190741215
0.3,glue-cola,glue-mrpc,glue-rte,glue-sst2,0.7388535031847133,0.0,0.0,0.0,0.0,0.7751842751842752,0.0,0.2162911111955698
0.4,glue-cola,glue-mrpc,glue-rte,glue-stsb,0.002547770700636922,0.0,0.34571428571428575,0.0,0.08898305084745757,0.0,0.5692930709040999,0.14379116830949717
0.3,glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.6343949044585986,0.0,0.0,0.0,0.0,0.9201474201474202,0.0,0.22207747494371696
0.35,glue-cola,glue-qqp,glue-rte,glue-sst2,0.6471337579617834,0.0,0.0,0.0,0.0,0.9164619164619165,0.0,0.22337081063195713
0.5,glue-cola,glue-qqp,glue-rte,glue-stsb,0.019108280254777045,0.007583601186796885,0.0,0.5486868769044168,0.40677966101694907,0.0,0.4718383175473484,0.2077138195586126
0.45,glue-cola,glue-qqp,glue-sst2,glue-stsb,0.49044585987261147,0.0,0.0,0.0,0.0,0.8918918918918919,0.09635659600401111,0.21124204968121635
0.45,glue-cola,glue-rte,glue-sst2,glue-stsb,0.7668789808917198,0.0,0.0,0.0,0.0,0.6621621621621622,0.6274836043364209,0.29378924962718617
0.35,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.07735273210532823,0.0,0.0,0.5889830508474576,0.0,0.0,0.09519082613611227
0.4,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.2631509611818519,0.16857142857142857,0.07101533147945448,0.0,0.8832923832923834,0.0,0.19800430064644545
0.5,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.16228906539745333,0.5828571428571429,0.0,0.03813559322033889,0.0,0.3241284990255974,0.15820147150007607
0.35,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.31547780937075043,0.0,0.0,0.8389830508474577,0.923832923832924,0.0,0.29689911200730457
0.4,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.37690497898380515,0.0,0.0,0.8559322033898306,0.0,0.0,0.17611959748194797
0.4,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.2828683242675238,0.0,0.0,0.06355932203389823,0.8034398034398035,0.722274613301428,0.2674488661489505
0.4,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.4929340771417975,0.0,0.047841907523000916,0.6991525423728814,0.9545454545454546,0.0,0.3134962830833049
0.5,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.37462989862776613,0.0,0.0,0.8940677966101694,0.0,0.0,0.18124252789113365
0.45,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.45577443132649276,0.0,0.0,0.35169491525423724,0.8476658476658477,0.6276435364809251,0.32611124724678614
0.35,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.0,0.40799774384967236,0.0,0.0,0.6186440677966102,0.3034398034398034,0.0,0.19001165929801228
0.3,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.004237288135593106,0.4877149877149878,0.0,0.07027889655008299
0.35,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.31714285714285706,0.11437206017217406,0.08898305084745757,0.0,0.0,0.07435685259464124
0.4,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.2085714285714285,0.12483747744283051,0.0,0.7309582309582311,0.2815325641109289,0.19227138586905987
0.4,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.28285714285714286,0.0,0.021186440677966,0.16339066339066338,0.47332437114583903,0.13439408829594446
0.5,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.001516720237359377,0.0,0.736316857971186,0.24999999999999994,0.28992628992628994,0.598663108563696,0.26806042524264734
