scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.35,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0009587727708533,0.025625,0.0,0.000625,0.4729241877256318,0.0,,0.07144756578521215
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.4046021093000959,0.00125,0.0,0.0,0.0,0.8807339449541285,,0.18379800775060348
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.1035474592521572,0.124375,0.4264705882352941,0.00125,0.0433212996389891,0.0,0.2120838291627431,0.13014973946988337
0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.5119846596356663,0.000625,0.0,0.0,0.1227436823104693,0.8348623853211009,,0.21003081818103378
0.4,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0162991371045062,0.24875,0.0,0.0,0.7328519855595668,0.0,,0.1425573032377247
0.35,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.2770853307766059,0.21625,0.0,0.0,0.0108303249097472,0.5768348623853211,0.426726738552483,0.2153896080891653
0.3,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.3921380632790028,0.0925,0.0,0.0,0.0974729241877256,0.8727064220183486,,0.20783105849786815
0.3,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.2559923298178331,0.290625,0.0,0.0,0.5270758122743683,0.0,,0.15338473458460022
0.4,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0325982742090124,0.28625,0.0,0.0,0.03971119133574,0.7362385321100917,0.3179738592112671,0.201824550980873
0.35,glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.2320230105465004,0.4475,0.0,0.0,0.5270758122743683,0.5309633027522935,,0.24822316079616605
0.25,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.2473633748801534,0.0,0.0,0.0,0.0,0.6708715596330275,,0.13117641921616868
0.4,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.3039215686274509,0.03625,0.0072202166064981,0.0,,0.04962739789056414
0.25,glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.2579098753595398,0.0,0.0,0.0,0.0,0.8337155963302753,,0.15594649595568785
0.25,glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.3432406519654842,0.0,0.0,0.0,0.0,0.5619266055045872,,0.1293096082100102
0.3,glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.4266538830297219,0.0,0.0,0.0,0.0,0.7947247706422018,,0.17448266481027483
0.3,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.03,0.0,0.0,0.3501805054151624,0.6032110091743119,,0.14048450208421062
0.3,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.17125,0.0,0.0,0.4981949458483754,0.0,,0.09563499226405363
0.4,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.266875,0.3039215686274509,0.00125,0.0649819494584837,0.4575688073394495,0.442511743001849,0.219587009775319
0.35,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.405,0.0,0.0,0.6028880866425993,0.2431192660550458,,0.17871533609966359
0.35,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.446875,0.0,0.0,0.5270758122743683,0.5447247706422018,,0.21695365470236716
0.25,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.3761467889908257,,0.053735255570117955
