scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.35,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.001273885350318461,0.031092764865867224,0.0,0.0007475298050468893,0.5550847457627118,0.0,0.0,0.08402841796913492
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.5375796178343949,0.001516720237359377,0.0,0.0,0.0,0.9434889434889436,0.0,0.21179789736581398
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.13757961783439485,0.150913663617258,0.49714285714285716,0.0014950596100937786,0.05084745762711856,0.0,0.23445434501297613,0.1532047144063855
0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.6802547770700637,0.0007583601186796885,0.0,0.0,0.14406779661016947,0.8943488943488944,0.0,0.24563283259254387
0.4,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.02165605095541397,0.301827327234516,0.0,0.0,0.8601694915254237,0.0,0.0,0.16909326710219338
0.35,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.36815286624203813,0.2623926010631722,0.0,0.0,0.012711864406779553,0.617936117936118,0.47173770099215745,0.24756159294860933
0.3,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.5210191082802547,0.11223729756459389,0.0,0.0,0.11440677966101691,0.934889434889435,0.0,0.24036466005647147
0.3,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.3401273885350317,0.35263745518605516,0.0,0.0,0.6186440677966102,0.0,0.0,0.18734413021681387
0.35,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.10191082802547767,0.2912102855730004,0.0,0.0,0.04237288135593211,0.8906633906633907,0.25207635498317443,0.22546196294299645
0.35,glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.30828025477706994,0.542985844974657,0.0,0.0,0.6186440677966102,0.5687960687960688,0.0,0.29124374804920083
0.25,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.3286624203821656,0.0,0.0,0.0,0.0,0.7186732186732187,0.0,0.14961937700791203
0.4,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.3542857142857142,0.04335672869271958,0.00847457627118633,0.0,0.0,0.05801671703566001
0.25,glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.34267515923566877,0.0,0.0,0.0,0.0,0.8931203931203933,0.0,0.17654222176515172
0.25,glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.45605095541401275,0.0,0.0,0.0,0.0,0.601965601965602,0.0,0.1511452224828021
0.3,glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5668789808917196,0.0,0.0,0.0,0.0,0.8513513513513514,0.0,0.20260433317758159
0.3,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.03640128569662505,0.0,0.0,0.4110169491525423,0.6461916461916463,0.0,0.1562299830058305
0.3,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.20779067251823466,0.0,0.0,0.5847457627118644,0.0,0.0,0.11321949074715701
0.4,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.3238197706762269,0.3542857142857142,0.0014950596100937786,0.07627118644067792,0.49017199017199015,0.489187701276541,0.24789020320874913
0.35,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.49141735690443816,0.0,0.0,0.7076271186440678,0.2604422604422604,0.0,0.20849810514153802
0.35,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.5422274848559773,0.0,0.0,0.6186440677966102,0.5835380835380836,0.0,0.24920137659866728
0.25,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.402948402948403,0.0,0.05756405756405757
